budget,method,workload_cap,cases,requests_mean,requests_ci_low,requests_ci_high,planned_mean,planned_ci_low,planned_ci_high,planned_workload_mean,planned_workload_ci_low,planned_workload_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completed_mean,completed_ci_low,completed_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,schedule_gap_mean,schedule_gap_ci_low,schedule_gap_ci_high,plan_execution_rate_mean,plan_execution_rate_ci_low,plan_execution_rate_ci_high,complete_plan_mean,complete_plan_ci_low,complete_plan_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14.1,Time plan 930,930,480,127.39791666666666,126.40253102192736,128.39330231140596,41,41,41,846.344803584247,846.3289956199633,846.3606115485306,40.983333333333334,40.971868623429245,40.994798043237424,40.983333333333334,40.971868623429245,40.994798043237424,86.41458333333334,85.42086508336531,87.40830158330137,96.26494149178953,94.38556568655473,98.14431729702433,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9995934959349595,0.9993138688641281,0.9998731230057909,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.34124110772357874,0.3410607684149702,0.3414214470321873,0.3172052845528437,0.31711440575482347,0.3172961633508639,0.3415536077235787,0.3414396487005291,0.34166756674662824,0.9982526122725062,0.9982520246192992,0.9982531999257132
14.1,Time plan 960,960,480,127.39791666666666,126.40253102192736,128.39330231140596,41,41,41,846.344803584247,846.3289956199633,846.3606115485306,40.983333333333334,40.971868623429245,40.994798043237424,40.983333333333334,40.971868623429245,40.994798043237424,86.41458333333334,85.42086508336531,87.40830158330137,96.26494149178953,94.38556568655473,98.14431729702433,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9995934959349595,0.9993138688641281,0.9998731230057909,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.34124110772357874,0.3410607684149702,0.3414214470321873,0.3172052845528437,0.31711440575482347,0.3172961633508639,0.3415536077235787,0.3414396487005291,0.34166756674662824,0.9982526122725062,0.9982520246192992,0.9982531999257132
14.15,Greedy event,0,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,0,0,0,42,42,42,42,42,42,85.39791666666666,84.40253102192736,86.39330231140596,132.59222736062765,131.30043270867182,133.88402201258347,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.9993349555403214,0.9993348767049428,0.9993350343756999
14.15,Time plan 900,900,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,866.6781369175756,866.6623289532919,866.6939448818592,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.7510631984943,99.89971330944877,103.60241308753982,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9993239300416572,0.9993198667684728,0.9993279933148416
14.15,Time plan 930,930,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,866.6781369175756,866.6623289532919,866.6939448818592,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.7510631984943,99.89971330944877,103.60241308753982,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9993239300416572,0.9993198667684728,0.9993279933148416
14.15,Time plan 960,960,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,866.6781369175756,866.6623289532919,866.6939448818592,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.7510631984943,99.89971330944877,103.60241308753982,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9993239300416572,0.9993198667684728,0.9993279933148416
16,Greedy event,0,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,0,0,0,44.5125,44.462117197803884,44.56288280219612,44.5125,44.462117197803884,44.56288280219612,82.88541666666667,81.89368277352393,83.87715055980941,140.89894842889535,139.547982817314,142.2499140404767,0,0,0,0,0,0,0,0,0,0.33703841781603544,0.3366527141630887,0.3374241214689822,0.33703841781603544,0.3366527141630887,0.3374241214689822,0.3259231643679307,0.32515175706203714,0.3266945716738242,0.9467614884155292,0.9467456906359911,0.9467772861950673
16,Time plan 900,900,480,127.39791666666666,126.40253102192736,128.39330231140596,43,43,43,887.0058187782961,886.9941903450729,887.0174472115193,42.97708333333333,42.961385741463474,42.99278092520319,42.97708333333333,42.961385741463474,42.99278092520319,84.42083333333333,83.42817077780818,85.41349588885849,106.77799094204362,104.94686291207252,108.60911897201471,0.022916666666666665,0.007219074796808379,0.03861425853652495,0.999467054263566,0.9991019939875228,0.9998321145396092,0.98125,0.9691027271804745,0.9933972728195254,0.3477900843169594,0.34716692093791857,0.34841324769600024,0.3490292352051461,0.3488971416579657,0.3491613287523265,0.3031806804779011,0.3026484343041583,0.3037129266516439,0.9462751382788515,0.9462702158038104,0.9462800607538925
16,Time plan 930,930,480,127.39791666666666,126.40253102192736,128.39330231140596,44.99166666666667,44.9835256142816,44.99980771905174,928.4185795654415,928.2636742875148,928.5734848433682,44.85208333333333,44.81680242483257,44.8873642418341,44.85208333333333,44.81680242483257,44.8873642418341,82.54583333333333,81.55632335362519,83.53534331304148,109.99289031971892,108.09747268216907,111.88830795726878,0.13958333333333334,0.10596355008824775,0.17320311657841891,0.9968960437710433,0.9961484999932706,0.9976435875488161,0.8708333333333333,0.8407980963532459,0.9008685703134208,0.332504551327226,0.3320218687596807,0.3329872338947713,0.33445905273666965,0.3341895918338405,0.3347285136394988,0.33303639593610546,0.33261846742440393,0.333454324447807,0.9468632455303861,0.946852181543683,0.9468743095170893
16,Time plan 960,960,480,127.39791666666666,126.40253102192736,128.39330231140596,45,45,45,928.5955593067166,928.5748483708912,928.616270242542,44.860416666666666,44.82679688342158,44.89403644991175,44.860416666666666,44.82679688342158,44.89403644991175,82.5375,81.54665414931179,83.5283458506882,110.03678932892996,108.14641730900763,111.92716134885228,0.13958333333333334,0.10596355008824775,0.17320311657841891,0.9968981481481477,0.9961510418538124,0.997645254442483,0.8708333333333333,0.8407980963532459,0.9008685703134208,0.3325864018087858,0.33213389327117854,0.33303891034639305,0.3343944532534655,0.33413811412793193,0.3346507923789991,0.3330191449377498,0.3326145828491132,0.3334237070263864,0.9468658606579539,0.9468553166448421,0.9468764046710656
