setting,factor,level,demand,policy,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_mean_wait_mean,delta_mean_wait_ci_low,delta_mean_wait_ci_high,delta_peak_lae_db_mean,delta_peak_lae_db_ci_low,delta_peak_lae_db_ci_high,delta_peak_budget_utilization_mean,delta_peak_budget_utilization_ci_low,delta_peak_budget_utilization_ci_high,delta_population_weighted_equivalent_mean,delta_population_weighted_equivalent_ci_low,delta_population_weighted_equivalent_ci_high
budget_30,budget,30 missions,45,P2,30,0.001048766960066083,0.0007767414840048676,0.0013207924361272987,-1.6,-2.0160442063161024,-1.183955793683898,-6.70077526645047,-8.351644258867463,-5.049906274033477,1.8183303962829815,1.8183298020246537,1.8183309905413094,0.012733508269959315,0.01273337712715872,0.01273363941275991,143.63538334442345,143.57837377386647,143.69239291498042
budget_30,budget,30 missions,45,P3-U,30,0.001690488811601143,-0.0036404270886477804,0.007021404711850067,-2.6333333333333333,-10.770424792200052,5.503758125533386,-73.67690258770726,-99.5910061435402,-47.76279903187432,1.5332667826668318,1.4148420968784763,1.6516914684551873,-0.0013837904763794688,-0.0020838687773056925,-0.0006837121754532453,10.200710487153708,8.990726142676937,11.41069483163048
budget_30,budget,30 missions,45,P3-D,30,0.09689696387021667,0.08598127641024894,0.10781265133018439,-147.66666666666666,-164.48850713162034,-130.84482620171298,34.821543216809296,-12.327279798024357,81.97036623164294,1.7837764503961215,1.7484525710752084,1.8191003297170347,0.000024394931034473395,0.000004245108539715397,0.00004454475352923139,39.3269508414745,37.2327378689356,41.4211638140134
budget_30,budget,30 missions,80,P0,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.7666742889575507,-0.7666745192296734,-0.766674058685428,0,0,0
budget_30,budget,30 missions,80,P1,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.6656151417158489,-0.6726025448585506,-0.6586277385731472,0,0,0
budget_30,budget,30 missions,80,P2,30,0.0006603836554757399,0.00052590793215947,0.0007948593787920099,-1.7666666666666666,-2.126767206054534,-1.4065661272787993,-9.154129474763067,-10.938221449725583,-7.37003749980055,1.8183309601557118,1.8183306165909054,1.8183313037205182,0.012733632560273423,0.012733556857407327,0.012733708263139519,143.65823092093086,143.6088780866572,143.70758375520452
budget_30,budget,30 missions,80,P3-U,30,0.01064392909996437,0.01024590857535078,0.01104194962457796,-28.466666666666665,-29.46445315170833,-27.468880181625,-142.7758313324909,-146.19542156019938,-139.3562411047824,1.4473090731169866,1.3955094726401065,1.4991086735938668,-0.002060340007121475,-0.002669753590913621,-0.0014509264233293294,14.061333846149902,13.924557539927019,14.198110152372784
budget_30,budget,30 missions,80,P3-D,30,0.037124708247201196,0.03686127800883408,0.037388138485568316,-99.33333333333333,-99.50490707227003,-99.16175959439663,-64.4236659107403,-68.58288338899662,-60.26444843248397,1.8185220258592096,1.8183677625080221,1.8186762892103971,-0.00000893077009023191,-0.00002242120888207299,0.000004559668701609171,33.33806315686608,33.31450333879838,33.36162297493377
source_minus_1,source level,-1 dB,45,P0,30,0,0,0,0,0,0,0,0,0,-0.9999999999999986,-1.0000000000000022,-0.9999999999999949,-0.47304956491931016,-0.4730496534508596,-0.47304947638776074,-163.5558005026517,-164.30632602343374,-162.80527498186964
source_minus_1,source level,-1 dB,45,P1,30,0,0,0,0,0,0,0,0,0,-1.0000000000000067,-1.0000000000000093,-1.000000000000004,-0.4165185136821148,-0.42047097063019434,-0.41256605673403524,-29.72543958892222,-29.84006832737944,-29.610810850465
