setting,policy,target,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,queue_north_mean,queue_north_ci_low,queue_north_ci_high,queue_central_mean,queue_central_ci_low,queue_central_ci_high,queue_south_mean,queue_south_ci_low,queue_south_ci_high,trip_north_mean,trip_north_ci_low,trip_north_ci_high,trip_central_mean,trip_central_ci_low,trip_central_ci_high,trip_south_mean,trip_south_ci_low,trip_south_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high
p3d_075_t14.2,P3-D0.75,14.2,0.75,87,30,41.766666666666666,41.61272763310584,41.92060570022749,7038,7003.850661923919,7072.149338076081,1412.3333333333333,1397.7162979771003,1426.9503686895662,4211.933333333333,4185.493836864076,4238.372829802591,1413.7333333333333,1400.4649247467146,1427.001741919952,14.233333333333333,14.079394299772511,14.387272366894154,14,14,14,13.533333333333333,13.22545526621169,13.841211400454977,14.974902954299477,14.974376387618541,14.975429520980413,14.139416290896829,14.13864271524599,14.140189866547669,15.001634602324437,15.001107668082774,15.0021615365661
p3d_075_t14.2,P3-D0.75,14.2,0.75,88,30,23.1,18.596704103544333,27.60329589645567,7141.533333333334,7108.363456694122,7174.703209972546,1433.8,1419.4635587352393,1448.1364412647606,4273.1,4247.157106013134,4299.042893986867,1434.6333333333334,1421.500885007939,1447.765781658728,4.2,1.864957683319282,6.535042316680718,14.7,14.533211263094234,14.866788736905765,4.2,1.864957683319282,6.535042316680718,15.001634602324437,15.001107668082774,15.0021615365661,14.742184164991995,14.598841761236056,14.885526568747935,15.028897271420865,15.028101214463746,15.029693328377984
p3d_075_t14.2,P3-D0.75,14.2,0.75,89,30,20.233333333333334,20.079394299772513,20.387272366894155,7252.6,7218.924668431776,7286.275331568225,1455.8666666666666,1441.621581983175,1470.111751350158,4340.566666666667,4314.270560425762,4366.8627729075715,1456.1666666666667,1442.6931294071524,1469.6402039261811,4.133333333333334,3.772620203982843,4.494046462683825,15,15,15,1.1,0.7697484066010751,1.430251593398925,15.028897271420865,15.028101214463746,15.029693328377984,15.026285746994084,15.025512528161956,15.027058965826212,14.78491439717447,14.720984991489988,14.848843802858951
p3d_075_t14.2,P3-D0.75,14.2,0.75,90,30,39.7,36.197436524978926,43.20256347502108,7337.966666666666,7304.037663714649,7371.895669618683,1472.0333333333333,1457.6817823359445,1486.3848843307221,4392.7,4365.922761345183,4419.477238654817,1473.2333333333333,1459.7291557342216,1486.737510932445,17.266666666666666,15.184465414712415,19.348867918620915,14.3,14.133211263094235,14.466788736905766,8.133333333333333,6.5309779023495995,9.735688764317066,14.78491439717447,14.720984991489988,14.848843802858951,14.427529940069777,14.279162981131762,14.575896899007791,14.413085811027132,14.349032828275258,14.477138793779007
p3d_075_t14.2,P3-D0.75,14.2,0.75,91,30,45.733333333333334,45.546956546920946,45.91971011974572,7418.1,7384.254539102617,7451.945460897384,1487.4333333333334,1472.9347889519108,1501.931877714756,4442.466666666666,4416.138498927714,4468.7948344056185,1488.2,1474.8653755475696,1501.5346244524305,22.8,21.794864862977043,23.80513513702296,14,14,14,8.933333333333334,7.882943265301863,9.983723401364804,14.413085811027132,14.349032828275258,14.477138793779007,14.159322581865323,14.158387265315723,14.160257898414924,14.31069733799573,14.307971053344044,14.313423622647417
p3d_075_t14.2,P3-D0.75,14.2,0.75,92,30,45.46666666666667,45.241649817574256,45.69168351575908,7502.1,7468.828359231197,7535.371640768803,1504.2666666666667,1489.0921551959314,1519.441178137402,4492.366666666667,4467.699849085271,4517.033484248062,1505.4666666666667,1492.437428778797,1518.4959045545363,21.766666666666666,21.56329568842918,21.970037644904153,14,14,14,9.7,9.415735916856319,9.98426408314368,14.31069733799573,14.307971053344044,14.313423622647417,14.157986253972414,14.156858052416109,14.15911445552872,14.329002176156331,14.326172127871944,14.331832224440719
p3d_075_t14.2,P3-D0.75,14.2,0.75,93,30,45.43333333333333,45.20929981093749,45.65736685572917,7583.666666666667,7549.659297332328,7617.674036001006,1522.9333333333334,1507.431781324024,1538.4348853426427,4538.333333333333,4513.406733492664,4563.259933174002,1522.4,1509.4547869798164,1535.3452130201838,17.866666666666667,17.505953537316177,18.227379796017157,14,14,14,13.566666666666666,13.160467877969928,13.972865455363404,14.329002176156331,14.326172127871944,14.331832224440719,14.15781919878964,14.156696223466417,14.158942174112864,14.34790836186875,14.345055064084322,14.350761659653179
p3d_075_t14.2,P3-D0.75,14.2,0.75,94,30,45.3,45.10855876325505,45.49144123674495,7667.766666666666,7633.431291192526,7702.102042140807,1539.8333333333333,1524.4142800554996,1555.252386611167,4588.766666666666,4563.179674735675,4614.353658597658,1539.1666666666667,1526.665515112047,1551.6678182212866,14.466666666666667,14.049209742511726,14.884123590821607,14,14,14,16.833333333333332,16.391718393833692,17.274948272832972,14.34790836186875,14.345055064084322,14.350761659653179,14.157160072356568,14.156201908407484,14.158118236305652,14.366889722413413,14.363932222417906,14.36984722240892
p3d_075_t14.2,P3-D0.75,14.2,0.75,95,30,44.96666666666667,44.69295411783675,45.24037921549659,7751,7716.140159627379,7785.859840372621,1556.2333333333333,1540.816112964774,1571.6505537018927,4637.9,4612.974814410126,4662.825185589873,1556.8666666666666,1544.1180104856624,1569.6153228476708,12.766666666666667,12.445452399604967,13.087880933728368,14,14,14,18.2,17.808,18.592,14.366889722413413,14.363932222417906,14.36984722240892,14.155491034298867,14.154118905243628,14.156863163354107,14.386167689852954,14.383122066365999,14.389213313339908
p3d_075_t14.2,P3-D0.75,14.2,0.75,96,30,45.13333333333333,44.82545526621169,45.441211400454975,7830.4,7796.709592587323,7864.0904074126765,1571.6333333333334,1556.6675736106656,1586.5990930560013,4686.266666666666,4661.506679744245,4711.026653589088,1572.5,1559.5244134099332,1585.4755865900668,12.466666666666667,12.285090088772252,12.648243244561082,14,14,14,18.666666666666668,18.310883789143457,19.02244954418988,14.386167689852954,14.383122066365999,14.389213313339908,14.1563287573377,14.154785387852552,14.157872126822848,14.406196724418464,14.403061026197895,14.409332422639034
p3d_075_t14.2,P3-D0.75,14.2,0.75,97,30,45.06666666666667,44.785788350749456,45.347544982583884,7915.3,7881.1223367881785,7949.477663211822,1587.5,1572.0324347367657,1602.9675652632343,4737.966666666666,4713.228705295279,4762.704628038054,1589.8333333333333,1576.6865690591392,1602.9800976075273,13,13,13,14,14,14,18.066666666666666,17.785788350749453,18.34754498258388,14.406196724418464,14.403061026197895,14.409332422639034,14.155989146502959,14.154581537986305,14.157396755019613,14.425848783616503,14.422761008451037,14.42893655878197
p3d_075_t14.2,P3-D0.75,14.2,0.75,98,30,44.93333333333333,44.70442541462137,45.16224125204529,8001.566666666667,7967.178090767126,8035.955242566207,1606.4,1591.2052297442037,1621.5947702557964,4787.666666666667,4762.117211080172,4813.216122253162,1607.5,1594.4308272518174,1620.5691727481826,13.733333333333333,13.572382899517223,13.894283767149442,14,14,14,17.2,16.927635133158375,17.472364866841623,14.425848783616503,14.422761008451037,14.42893655878197,14.155323906577594,14.154176575736916,14.156471237418273,14.445653667690157,14.442487747297527,14.448819588082788
