demand,target,policy,policy_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,population_weighted_exposure_mean,late_population_weighted_exposure_mean,late_central_use_mean,late_central_budget_mean,late_central_budget_sd,late_target_gap,late_budget_direction_changes,final_central_budget,runtime_ms
45,14,P2 fixed,p2,511,120,8471,4680,0.5524731436666274,0.5980830670926518,0.515702479338843,3791,11981.449166283377,22468.31232408468,22533.925143173226,24980,0.5563656758272574,0.5528049510880415,0.5473496128648004,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.11520858454849,13.115209554813468,13.130533751067404,14,0,0,0,14,77.75675000000001
45,14,P2 fixed,p2,512,120,8386,4677,0.5577152396851897,0.6106020942408377,0.5483304042179262,3709,11737.198368988003,21982.776364636964,22049.60754074949,24625,0.5398920215956808,0.5632092375074657,0.5589622641509434,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.106797798189117,13.115204163442433,13.130532014639975,14,0,0,0,14,77.66791699999999
45,14,P2 fixed,p2,513,120,8393,4678,0.5573692362683188,0.6345108695652174,0.5594739988045427,3715,11775.277614979808,22362.044611003465,22428.243535832004,24916,0.5596330275229358,0.5592417061611374,0.5495867768595041,0.3334758443779393,0.33326207781103034,0.33326207781103034,13.107941700484755,13.1152171862119,13.130536005325418,14,0,0,0,14,76.35704099999998
45,14,P2 fixed,p2,514,120,8461,4679,0.5530079186857345,0.6192052980132451,0.5451368666278392,3782,11804.249945365185,22400.626266846913,22476.669096585378,25248,0.5680612846199175,0.5507843137254902,0.5444711538461539,0.33340457362684334,0.33340457362684334,0.3331908527463133,13.114068780857211,13.115201822896955,13.130531282679536,14,0,0,0,14,73.91049999999996
45,14,P2 fixed,p2,515,120,8440,4680,0.5545023696682464,0.6054333764553687,0.5394812680115274,3760,11724.803248271895,21940.01612098487,22016.027237569473,24631,0.5511945392491467,0.5580838323353293,0.5472488038277512,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115205528522663,13.11520676727602,13.130532915200972,14,0,0,0,14,81.37762500000008
45,14,P2 fixed,p2,516,120,8354,4680,0.5602106775197511,0.6007702182284981,0.5584725536992841,3674,11908.900583533292,22271.082752961967,22338.099544948625,24859,0.5590361445783133,0.559154651392455,0.5646842427958307,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115208550654591,13.1152033202262,13.130531794845764,14,0,0,0,14,73.55929100000003
45,14,P2 fixed,p2,517,120,8496,4667,0.5493173258003766,0.5845471817606079,0.5252525252525253,3829,12078.14835372617,22518.003900989577,22587.095953522225,25259,0.5443856554967667,0.5458300550747442,0.5645821157218002,0.3334047568030855,0.3334047568030855,0.33319048639382903,13.080436421614062,13.115211512770472,13.130534397972374,14,0,0,0,14,75.63866700000017
45,14,P2 fixed,p2,518,120,8390,4669,0.5564958283671037,0.6401384083044983,0.5413533834586466,3721,11539.426494982517,22229.86339339612,22304.44088866014,25002,0.5614849187935035,0.5614909308351604,0.5360824742268041,0.33304776183336904,0.33369029770828873,0.33326194045834223,13.0926817350679,13.115216477642692,13.130535913338782,14,0,0,0,14,82.5982919999999
45,14,P2 fixed,p2,519,120,8388,4672,0.5569861707200763,0.6373626373626373,0.5336374002280502,3716,11557.784132485405,22159.77704279458,22225.56404749795,24857,0.5354719309068476,0.5631797508404193,0.5590643274853802,0.3332619863013699,0.3334760273972603,0.3332619863013699,13.096107186784659,13.115206557758585,13.130532778125493,14,0,0,0,14,72.96654099999978
45,14,P2 fixed,p2,520,120,8555,4677,0.546697837521917,0.6086105675146771,0.549618320610687,3878,12190.05942223298,23105.951318486394,23187.166978436722,25980,0.5428233904311872,0.5484624367458155,0.5452436194895591,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.106799622117089,13.115206035123721,13.130532573145686,14,0,0,0,14,77.10829200000035
