setting,factor,level,demand,policy,runs,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,peak_queue_mean,peak_queue_ci_low,peak_queue_ci_high,mean_wait_mean,mean_wait_ci_low,mean_wait_ci_high,peak_lae_db_mean,peak_lae_db_ci_low,peak_lae_db_ci_high,peak_budget_utilization_mean,peak_budget_utilization_ci_low,peak_budget_utilization_ci_high,population_weighted_equivalent_mean,population_weighted_equivalent_ci_low,population_weighted_equivalent_ci_high,route_1_share_mean,route_1_share_ci_low,route_1_share_ci_high,route_2_share_mean,route_2_share_ci_low,route_2_share_ci_high,route_3_share_mean,route_3_share_ci_low,route_3_share_ci_high
source_plus_1,source level,+1 dB,80,P0,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1103.2,1102.7968929864567,1103.6031070135434,0.41229896804455374,0.40964525550164715,0.4149526805874603,1573.3666666666666,1556.073135939942,1590.6601973933912,1573.3666666666666,1556.073135939942,1590.6601973933912,2648.3273239238706,2615.070868884355,2681.583778963386,80.92322656063666,80.92322639083659,80.92322673043674,2.895557234813666,2.8955563651273852,2.8955581044999468,1020.3387121458007,1019.9658975945506,1020.7115266970509,0,0,0,1,1,1,0,0,0
source_plus_1,source level,+1 dB,80,P1,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1068.2333333333333,1067.6413417728675,1068.8253248937992,0.3992308850647583,0.39665460171677575,0.40180716841274083,1608.3333333333333,1591.0372877462578,1625.6293789204087,1608.3333333333333,1591.0372877462578,1625.6293789204087,2727.4973386637953,2694.0643224194,2760.9303549081906,80.30759392831322,80.26269021012749,80.35249764649896,2.5138794491431855,2.487489591006792,2.540269307279579,184.37276448563733,184.27061702486162,184.47491194641304,0.7988650283002067,0.7952378390830114,0.802492217517402,0,0,0,0.20113497169979336,0.19750778248259807,0.20476216091698865
source_plus_1,source level,+1 dB,80,P2,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1078.7333333333333,1078.346625765144,1079.1200409015228,0.4031553735727021,0.40055423445521965,0.40575651269018453,1597.8333333333333,1580.5210201992186,1615.145646467448,1597.8333333333333,1580.5210201992186,1615.145646467448,2703.053453942202,2669.777636382671,2736.329271501733,76.09995693206267,76.09995635336382,76.09995751076151,0.9536772776025896,0.9536771505247731,0.9536774046804061,457.01255475634304,456.94583313579585,457.0792763768902,0.3337250631082057,0.33360525620316417,0.33384487001324725,0.3337250631082057,0.33360525620316417,0.33384487001324725,0.33254987378358847,0.33231025997350544,0.3327894875936715
source_plus_1,source level,+1 dB,80,P3-U,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,816.9333333333333,816.842545044386,817.0241216222805,0.30531268592306515,0.3033458622075588,0.3072795096385715,1859.6333333333334,1842.3405686265821,1876.9260980400848,1859.6333333333334,1842.3405686265821,1876.9260980400848,3154.2700389636566,3122.55856392924,3185.9815139980733,76.34694939529432,76.33025536298665,76.36364342760199,0.9999217297759807,0.9999018791200983,0.9999415804318631,345.6246653662331,345.60900906132747,345.64032167113874,0.3336461308309534,0.3334337480023167,0.33385851365959013,0.33295253637970895,0.3329154950541491,0.3329895777052688,0.3334013327893377,0.3331910367421628,0.3336116288365126
source_plus_1,source level,+1 dB,80,P3-D,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,834.0333333333333,833.968,834.0986666666666,0.31170266692711146,0.30971109893640697,0.31369423491781595,1842.5333333333333,1825.28576001921,1859.7809066474565,1842.5333333333333,1825.28576001921,1859.7809066474565,2991.2587617039544,2959.6369001866606,3022.8806232212482,76.1085747946802,76.09167316036857,76.12547642899182,0.9793039388152703,0.9770563998534455,0.9815514777770952,353.08978685784604,353.0784927878517,353.10108092784037,0.3333200266134398,0.33329394544244845,0.33334610778443113,0.3333200266134398,0.33329394544244845,0.33334610778443113,0.3333599467731204,0.33330778443113773,0.3334121091151031
validation_minus_rmse,validation error,-2.29 dB,45,P0,30,1522.6,1510.4792169594023,1534.7207830405976,1082.4333333333334,1077.4662661829288,1087.400400483738,0.7111663941437382,0.706040144284621,0.7162926440028553,440.1666666666667,429.25988588711584,451.07344744621753,440.1666666666667,429.25988588711584,451.07344744621753,1055.3615446085862,1029.3655727143296,1081.3575165028428,77.63684231205961,77.63684220625645,77.63684241786278,1.3586061325537682,1.358605878289702,1.3586063868178344,469.73494968871915,467.57942804618995,471.89047133124836,0,0,0,1,1,1,0,0,0
validation_minus_rmse,validation error,-2.29 dB,45,P1,30,1522.6,1510.4792169594023,1534.7207830405976,1054.2,1050.134679823442,1058.2653201765581,0.6926402075617109,0.6875107729364932,0.6977696421869285,468.4,457.1710525810327,479.62894741896724,468.4,457.1710525810327,479.62894741896724,1130.554829367324,1100.4489010169307,1160.6607577177172,77.08264655850276,77.04127208060316,77.12402103640235,1.196248023412146,1.184896502035667,1.207599544788625,85.37195151052438,85.04273588792586,85.70116713312291,0.8025191238908493,0.7982111752747614,0.8068270725069373,0,0,0,0.19748087610915074,0.19317292749306275,0.20178882472523874
validation_minus_rmse,validation error,-2.29 dB,45,P2,30,1522.6,1510.4792169594023,1534.7207830405976,1082.1666666666667,1077.2349288383082,1087.0984044950253,0.7109916221136844,0.7058729124179035,0.7161103318094653,440.43333333333334,429.53116884368325,451.3354978229834,440.43333333333334,429.53116884368325,451.3354978229834,1057.533443705792,1031.4581045320376,1083.6087828795464,76.2029840361318,76.20298383797028,76.20298423429331,0.9765717244748243,0.9765716799154421,0.9765717690342065,367.06696066934876,366.6079315501695,367.525989788528,0.21489572164360762,0.211283247861631,0.21850819542558425,0.7316380632161018,0.7283812405382406,0.734894885893963,0.05346621514029049,0.05154210064743015,0.05539032963315083
validation_minus_rmse,validation error,-2.29 dB,45,P3-U,30,1522.6,1510.4792169594023,1534.7207830405976,1043.6,1038.558884414653,1048.6411155853468,0.6857079439463163,0.6797369600014367,0.6916789278911959,479,466.5732752208946,491.4267247791054,479,466.5732752208946,491.4267247791054,1173.028738775644,1131.8743898008522,1214.1830877504356,76.20166283656478,76.2011369229044,76.20218875022516,0.9999563952010908,0.9999436526380494,0.9999691377641322,290.3004832686149,289.89223946847994,290.7087270687499,0.35586153774280427,0.3519572900485194,0.35976578543708915,0.5587428370931156,0.5560090236686739,0.5614766505175572,0.08539562516407996,0.08225060249232999,0.08854064783582993
validation_minus_rmse,validation error,-2.29 dB,45,P3-D,30,1522.6,1510.4792169594023,1534.7207830405976,1021.1666666666666,1017.8787792712553,1024.454554062078,0.670981454456199,0.6654475943913711,0.6765153145210268,501.43333333333334,489.22901818415204,513.6376484825147,501.43333333333334,489.22901818415204,513.6376484825147,1224.5399638899464,1185.9710475020527,1263.1088802778402,76.20166283656478,76.2011369229044,76.20218875022516,0.9999691501210922,0.9999602677564438,0.9999780324857407,294.4608974409282,294.162704019859,294.7590908619974,0.33161946344380233,0.32856834640192006,0.3346705804856846,0.5875431586786951,0.5856835495572056,0.5894027678001846,0.0808373778775025,0.07790847226101562,0.08376628349398939
validation_minus_rmse,validation error,-2.29 dB,80,P0,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1103.2,1102.7968929864567,1103.6031070135434,0.41229896804455374,0.40964525550164715,0.4149526805874603,1573.3666666666666,1556.073135939942,1590.6601973933912,1573.3666666666666,1556.073135939942,1590.6601973933912,2648.3273239238706,2615.070868884355,2681.583778963386,77.6368425490279,77.63684237922783,77.63684271882798,1.3586067020312742,1.3586062939710932,1.3586071100914552,478.74688712635725,478.57196109075574,478.92181316195877,0,0,0,1,1,1,0,0,0
validation_minus_rmse,validation error,-2.29 dB,80,P1,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1068.2333333333333,1067.6413417728675,1068.8253248937992,0.3992308850647583,0.39665460171677575,0.40180716841274083,1608.3333333333333,1591.0372877462578,1625.6293789204087,1608.3333333333333,1591.0372877462578,1625.6293789204087,2727.4973386637953,2694.0643224194,2760.9303549081906,77.02120991670448,76.97630619851874,77.06611363489021,1.1795220024115318,1.1671397784655888,1.1919042263574748,86.50841727130988,86.46048928593393,86.55634525668583,0.7988650283002067,0.7952378390830114,0.802492217517402,0,0,0,0.20113497169979336,0.19750778248259807,0.20476216091698865
validation_minus_rmse,validation error,-2.29 dB,80,P2,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1102.8666666666666,1102.4285652945384,1103.3047680387947,0.41217417523181116,0.4095244677630006,0.4148238827006217,1573.7,1556.418559324637,1590.981440675363,1573.7,1556.418559324637,1590.981440675363,2651.105221578313,2618.1552197168935,2684.0552234397323,76.20298412787697,76.20298397038383,76.20298428537012,0.9765717451050008,0.9765717096904704,0.9765717805195312,368.87272388871384,368.83725291898315,368.9081948584445,0.22408151617516572,0.2216215778157626,0.22654145453456884,0.7181293710319019,0.7178434289995245,0.7184153130642793,0.057789112792932494,0.05535844271437919,0.0602197828714858
validation_minus_rmse,validation error,-2.29 dB,80,P3-U,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1066.3666666666666,1065.1253333333332,1067.608,0.39852495467510624,0.39609639612182784,0.40095351322838463,1610.2,1593.3194458444725,1627.0805541555276,1610.2,1593.3194458444725,1627.0805541555276,2681.732439367481,2651.759442769113,2711.7054359658496,76.2029821746787,76.20298174915679,76.2029826002006,0.9999242040138104,0.9999121593205973,0.9999362487070236,292.1441741517556,292.04364629507114,292.24470200844,0.3610979154891959,0.3586606511855995,0.3635351797927923,0.546721951155531,0.5460747619422365,0.5473691403688256,0.09218013335527306,0.08976718629272869,0.09459308041781743
validation_minus_rmse,validation error,-2.29 dB,80,P3-D,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1024.9333333333334,1024.8425450443863,1025.0241216222805,0.3830480736800546,0.3805912603781253,0.38550488698198393,1651.6333333333334,1634.3640764042925,1668.9025902623744,1651.6333333333334,1634.3640764042925,1668.9025902623744,2820.628355207583,2787.9185456585096,2853.338164756656,76.2029821746787,76.20298174915679,76.2029826002006,0.9999760141289545,0.999970939111663,0.9999810891462461,294.7894773695733,294.7821244459917,294.7968302931549,0.33003709349593496,0.32681842918265613,0.3332557578092138,0.5854039634146343,0.5853520646214099,0.5854558622078587,0.08455894308943093,0.081355147379757,0.08776273879910486
validation_plus_rmse,validation error,+2.29 dB,45,P0,30,1522.6,1510.4792169594023,1534.7207830405976,1082.4333333333334,1077.4662661829288,1087.400400483738,0.7111663941437382,0.706040144284621,0.7162926440028553,440.1666666666667,429.25988588711584,451.07344744621753,440.1666666666667,429.25988588711584,451.07344744621753,1055.3615446085862,1029.3655727143296,1081.3575165028428,82.20961033527712,82.20961022947395,82.20961044108029,3.8937707011249425,3.8937699724030947,3.8937714298467903,1346.2622761420134,1340.0845423483756,1352.4400099356512,0,0,0,1,1,1,0,0,0
validation_plus_rmse,validation error,+2.29 dB,45,P1,30,1522.6,1510.4792169594023,1534.7207830405976,1054.2,1050.134679823442,1058.2653201765581,0.6926402075617109,0.6875107729364932,0.6977696421869285,468.4,457.1710525810327,479.62894741896724,468.4,457.1710525810327,479.62894741896724,1130.554829367324,1100.4489010169307,1160.6607577177172,81.6554145817203,81.6140401038207,81.69678905961989,3.4284517000415544,3.3959181936118106,3.4609852064712983,244.67636022273243,243.7328269094997,245.61989353596516,0.8025191238908493,0.7982111752747614,0.8068270725069373,0,0,0,0.19748087610915074,0.19317292749306275,0.20178882472523874
