setting,policy,target,delay,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high
p3u_t10_d3,P3-U,10,3,1,3,30,45.96666666666667,45.90133333333333,46.032000000000004,102.06666666666666,96.1657271947401,107.96760613859323,20,20,20,19.13539596930597,19.13506998907013,19.135721949541814,20,20,20,0,0,0,0,0,0
p3u_t10_d3,P3-U,10,3,1,4,30,45.96666666666667,45.90133333333333,46.032000000000004,134.83333333333334,129.2609495116697,140.40571715499698,20,20,20,19.13539485466419,19.13506915653174,19.135720552796645,14.523582576881923,14.522270211009074,14.524894942754772,0,0,0,0,0,0
p3u_t10_d3,P3-U,10,3,1,5,30,45.36666666666667,45.10959217353451,45.623741159798826,173.43333333333334,167.20564383108626,179.6610228355804,14.523582576881923,14.522270211009074,14.524894942754772,14.157495306547007,14.156207930506232,14.158782682587782,9.042743970161444,9.041465635578362,9.044022304744527,0,0,0,0,0,0
p3u_t10_d3,P3-U,10,3,1,6,30,17.1,16.845225996021085,17.354774003978918,233.7,226.1024695724399,241.29753042756008,9.042743970161444,9.041465635578362,9.044022304744527,9.04067024930777,9.039391987403738,9.041948511211801,5,5,5,49.666666666666664,47.183288668148336,52.15004466518499,0,0,0
p3u_t10_d3,P3-U,10,3,1,7,30,27.2,23.580566679268923,30.819433320731076,288.5,278.7402966410258,298.2597033589742,5,5,5,4.282328284768287,4.16550882772683,4.3991477418097436,5,5,5,32.43333333333333,25.969749562924832,38.89691710374183,0,0,0
p3u_t10_d3,P3-U,10,3,1,8,30,31.033333333333335,28.495172548713423,33.57149411795325,335.3666666666667,324.58308996988006,346.1502433634533,5,5,5,4.2020785551465245,4.124457409681274,4.279699700611775,5,5,5,24.7,21.08209197425382,28.317908025746178,0,0,0
p3u_t10_d3,P3-U,10,3,1,9,30,26.966666666666665,24.81449312041625,29.11884021291708,437.73333333333335,424.6617338046778,450.8049328619889,5,5,5,4.1816564763519555,4.102043141854918,4.261269810848993,5.575597850415338,5.574830893272919,5.576364807557757,50.833333333333336,43.23409826394334,58.432568402723334,0,0,0
p3u_t10_d3,P3-U,10,3,1,10,30,36.96666666666667,36.70959217353451,37.22374115979883,527.3,514.401071929059,540.198928070941,5.575597850415338,5.574830893272919,5.576364807557757,5.160511979373717,5.159221058788316,5.161802899959118,9.006200879554367,8.936150016529048,9.076251742579686,23.6,21.316199497409595,25.883800502590407,0,0,0
p3u_t10_d3,P3-U,10,3,1,11,30,29.933333333333334,27.466725865885902,32.39994080078076,621.6333333333333,608.354761815738,634.9119048509286,9.006200879554367,8.936150016529048,9.076251742579686,8.939276143458017,8.816622522678147,9.061929764237886,12.484953746466454,12.405598112307278,12.56430938062563,43.86666666666667,36.401887824859756,51.33144550847358,0,0,0
p3u_t10_d3,P3-U,10,3,1,12,30,32.9,32.10066153788805,33.699338462111946,716.3333333333334,703.4363966095126,729.2302700571541,12.484953746466454,12.405598112307278,12.56430938062563,12.104936024829426,12.100922236893561,12.10894981276529,15.975959860655276,15.88998049747548,16.061939223835072,33.86666666666667,30.77300612115085,36.960327212182484,0,0,0
p3u_t10_d3,P3-U,10,3,1,13,30,40.13333333333333,38.715174924681236,41.55149174198543,800.2,786.9710972783685,813.4289027216316,15.975959860655276,15.88998049747548,16.061939223835072,15.822678742213965,15.663739657898919,15.98161782652901,18.879652673031046,18.793882109904768,18.965423236157324,14.966666666666667,10.858039809510982,19.075293523822353,0,0,0
p3u_t10_d3,P3-U,10,3,1,14,30,31.466666666666665,28.025682721134523,34.90765061219881,896.6666666666666,883.4849342239423,909.8483991093909,18.879652673031046,18.793882109904768,18.965423236157324,18.764107036593195,18.615255646459463,18.912958426726927,19.51608698695624,19.45163689974617,19.58053707416631,39.166666666666664,29.627837979647147,48.70549535368618,0,0,0
p3u_t10_d3,P3-U,10,3,1,15,30,42.13333333333333,40.59279605331992,43.67387061334674,980.3,967.4154576225671,993.1845423774328,19.51608698695624,19.45163689974617,19.58053707416631,19.11615465460076,19.108420913940794,19.123888395260725,18.253125372058584,18.188893563977743,18.317357180139425,9,4.7399239119633005,13.2600760880367,0,0,0
p3u_t10_d3,P3-U,10,3,1,16,30,42.666666666666664,42.01333333333333,43.32,1070.9666666666667,1056.1262374528926,1085.8070958804408,18.253125372058584,18.188893563977743,18.317357180139425,17.991185142896764,17.869722231817825,18.112648053975704,14.759518126730203,14.677139701794035,14.841896551666371,8.333333333333334,5.947902972232253,10.718763694434415,0,0,0
p3u_t10_d3,P3-U,10,3,1,17,30,36.166666666666664,35.63437314005993,36.6989601932734,1163.7666666666667,1148.2287675577038,1179.3045657756295,14.759518126730203,14.677139701794035,14.841896551666371,14.27713251547088,14.143267606614756,14.410997424327004,9.501053904774286,9.34058977717107,9.661518032377503,26.266666666666666,24.182345837713584,28.350987495619748,0,0,0
p3u_t10_d3,P3-U,10,3,1,18,30,35.6,33.17552282683083,38.024477173169174,1254.5666666666666,1239.6277214136699,1269.5056119196634,9.501053904774286,9.34058977717107,9.661518032377503,9.299390655406174,9.172803662830606,9.425977647981743,5,5,5,27.266666666666666,20.099934858355397,34.433398474977935,0,0,0
