setting,factor,level,demand,seed,policy,requests,dispatched,completion_rate,final_queue,peak_queue,mean_wait,peak_lae_db,peak_budget_utilization,population_weighted_equivalent,route_1_share,route_2_share,route_3_share,budget_reference_missions,source_adjustment_db,validation_adjustment_db,altitude_m,speed_mps,route_weight_km
source_plus_1,source level,+1 dB,80,528,P3-U,2647,817,0.30865130336229696,1830,1830,3223.6678719563306,76.3555371366061,0.9998448787712947,345.6364348646016,0.33414932680538556,0.3329253365973072,0.3329253365973072,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,528,P3-D,2647,834,0.31507366830374006,1813,1813,3060.153758831048,76.09995261525765,0.9781242873244064,353.08382348124826,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,529,P0,2705,1104,0.4081330868761553,1601,1601,2620.47653660094,80.92322627183157,2.895555755604449,1021.0786246193483,0,1,0,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,529,P1,2705,1068,0.39482439926062846,1637,1637,2705.81873693551,80.73018680726452,2.7696711793767754,184.3325253041948,0.7968164794007491,0,0.20318352059925093,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,529,P2,2705,1078,0.3985212569316081,1627,1627,2686.717131971919,76.09995931608536,0.9536778011157173,456.88625793270296,0.3339517625231911,0.3339517625231911,0.3320964749536178,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,529,P3-U,2705,817,0.3020332717190388,1888,1888,3123.826937223099,76.35533944830426,0.9999408417399477,345.6363128013627,0.3329253365973072,0.3329253365973072,0.33414932680538556,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,529,P3-D,2705,834,0.30831792975970423,1871,1871,2961.0633011734753,76.09995480186893,0.9781258604293216,353.0839117260634,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,530,P0,2691,1103,0.409884801189149,1588,1588,2557.068108024061,80.92322582751595,2.8955534798979614,1020.1534781981636,0,1,0,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,530,P1,2691,1064,0.39539204756596064,1627,1627,2639.453160321637,80.31657606568898,2.5180597187215445,183.64242991126525,0.818609022556391,0,0.18139097744360902,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,530,P2,2691,1079,0.40096618357487923,1612,1612,2610.9789081947065,76.09995854961657,0.953677632804988,457.058668675565,0.3336422613531047,0.3336422613531047,0.33271547729379053,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,530,P3-U,2691,817,0.30360460795243405,1874,1874,3080.874849582025,76.35533802293133,0.9999406946419819,345.63638041462826,0.3329253365973072,0.3329253365973072,0.33414932680538556,20,1,0,80,15,0.35
source_plus_1,source level,+1 dB,80,530,P3-D,2691,834,0.30992196209587514,1857,1857,2916.887654052749,76.09995132999542,0.978124912400529,353.08409698971224,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,1,0,80,15,0.35
