setting,policy,target,delay,damping,initial_budget,runs,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high,head_of_line_share_mean,head_of_line_share_ci_low,head_of_line_share_ci_high,warm_budget_mean_mean,warm_budget_mean_ci_low,warm_budget_mean_ci_high,warm_budget_sd_mean,warm_budget_sd_ci_low,warm_budget_sd_ci_high,warm_dispatch_mean_mean,warm_dispatch_mean_ci_low,warm_dispatch_mean_ci_high,warm_dispatch_sd_mean,warm_dispatch_sd_ci_low,warm_dispatch_sd_ci_high,budget_direction_changes_mean,budget_direction_changes_ci_low,budget_direction_changes_ci_high,periods_within_point_one_mean,periods_within_point_one_ci_low,periods_within_point_one_ci_high,final_central_budget_mean,final_central_budget_ci_low,final_central_budget_ci_high,final_central_use_mean,final_central_use_ci_low,final_central_use_ci_high
p3d_075_t10_d1,P3-D0.75,10,1,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,765.6666666666666,765.4710425059386,765.8622908273946,0.28615235320136256,0.28431716340646,0.2879875429962651,1910.9,1893.6292430691208,1928.1707569308794,835.0666666666667,826.2862139915436,843.8471193417898,0,0,0,0,0,0,10.258962731582928,10.258886562694267,10.25903890047159,0.20433942758186033,0.20419636772122365,0.204482487442497,28.935416666666665,28.91732944053765,28.95350389279568,6.439693625557298,6.396057852855443,6.483329398259152,2,2,2,5,5,5,9.984062987126629,9.983664994496348,9.98446097975691,9.166692434936655,9.165960829366849,9.16742404050646
p3u_t10_d3,P3-U,10,3,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,807.6333333333333,803.1054604285197,812.161206238147,0.3018176680000061,0.2995498205302996,0.3040855154697126,1868.9333333333334,1852.1142230275257,1885.7524436391411,727.8333333333334,714.089189825414,741.5774768412527,0,0,0,0,0,0,10.6712647149219,10.65427728932905,10.68825214051475,5.440644131985057,5.416415489412864,5.464872774557251,31.55,31.17440374223034,31.925596257769662,8.824039778796259,8.386284626085793,9.261794931506724,3,3,3,0,0,0,12.40891088231363,12.313380244344055,12.504441520283207,12.039639955561842,11.980796119860399,12.098483791263286
p3d_025_t10_d3,P3-D0.25,10,3,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,898.0666666666667,897.5699910669631,898.5633422663703,0.3356358560738026,0.33344113297165195,0.3378305791759532,1778.5,1761.135817893437,1795.864182106563,534.8333333333334,525.8048613666249,543.8618053000419,0,0,0,0,0,0,10.565867234385921,10.565702564271655,10.566031904500187,0.9794895440514723,0.9793885510685513,0.9795905370343932,33.360416666666666,33.31943575519115,33.40139757814218,7.171164576603391,7.1326391964162035,7.209689956790578,2,2,2,3,3,3,10.46638912893671,10.466103960367288,10.466674297506131,10.111972895231636,10.110902292343566,10.113043498119707
p3d_05_t10_d3,P3-D0.5,10,3,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,794.1,792.3536102527141,795.8463897472859,0.29676900319354843,0.29496091000676034,0.2985770963803365,1882.4666666666667,1865.6560121652417,1899.2773211680917,796.3,787.1043118250185,805.4956881749814,0,0,0,0,0,0,9.672487652896224,9.67191079334557,9.67306451244688,2.859685400599882,2.859241129526442,2.860129671673322,28.78125,28.672671028924704,28.889828971075296,5.059406068077907,4.964811337781587,5.154000798374227,2,2,2,1,1,1,10.005939676521958,10.004597900962738,10.007281452081179,9.944388114254378,9.861069045800301,10.027707182708456
p3d_075_t10_d3,P3-D0.75,10,3,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,804.7333333333333,800.4567739972795,809.0098926693872,0.30073309943341564,0.29855961484154275,0.30290658402528853,1871.8333333333333,1855.1184712196655,1888.548195447001,765.4,751.4231310167579,779.376868983242,0,0,0,0,0,0,9.882156853256019,9.865424099221881,9.898889607290156,4.527147975238145,4.4934052842676735,4.560890666208616,29.266666666666666,29.076442625536856,29.456890707796475,8.569191428861753,7.852928868883537,9.28545398883997,3,3,3,0,0,0,5.397199455129284,5.395039908882932,5.399359001375636,5.077328975855493,5.073392670915436,5.08126528079555
p3u_t14_d0,P3-U,14,0,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,741,741,741,0.27693389746869274,0.2751544716135209,0.27871332332386456,1935.5666666666666,1918.2863673202457,1952.8469660130875,966.1666666666666,956.6296898048495,975.7036435284838,0,0,0,0,0,0,14.104667842868468,14.104601642088243,14.104734043648692,0.15876257693431578,0.15863522641731023,0.15888992745132133,23.86875,23.85516472759063,23.882335272409367,12.911372354183023,12.89056116521257,12.932183543153474,0,0,0,11,11,11,14.003918511310065,14.003908785636337,14.003928236983793,14.000012392857064,14.00001042824289,14.000014357471239
p3d_025_t14_d0,P3-D0.25,14,0,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1070.9333333333334,1070.2561059002146,1071.6105607664522,0.4002410978502958,0.39763327155963674,0.4028489241409549,1605.6333333333334,1588.2679476034427,1622.9987190632241,49.233333333333334,46.43029413983166,52.03637252683501,0,0,0,0,0,0,15.061499024774614,15.061144846891832,15.061853202657396,0.3994448947815573,0.39931221275378853,0.3995775768093261,44.166666666666664,44.13126333922602,44.20206999410731,4.418667398626665,4.376482272264332,4.460852524988998,0,0,0,0,0,0,14.694079709102871,14.693597123404256,14.694562294801486,14.15665585242584,14.155463564262124,14.157848140589557
p3d_05_t14_d0,P3-D0.5,14,0,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1055.4333333333334,1055.252976768658,1055.6136898980087,0.39444712566219053,0.3919106920284682,0.3969835592959129,1621.1333333333334,1603.8468895865717,1638.4197770800952,85.33333333333333,82.55458022946452,88.11208643720214,0,0,0,0,0,0,14.506845219466516,14.50640710842235,14.507283330510683,0.21031282676396276,0.2100710200520992,0.2105546334758263,43.295833333333334,43.26770622719678,43.323960439469886,1.431599999135167,1.4025860270254826,1.4606139712448512,0,0,0,0,0,0,14.182581202636927,14.182311229542151,14.182851175731702,14.140590558359719,14.140585878383634,14.140595238335804
p3d_075_t14_d0,P3-D0.75,14,0,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,810,810,810,0.3027212644394618,0.30077614305931444,0.30466638581960914,1866.5666666666666,1849.2863673202457,1883.8469660130875,780.2666666666667,771.3713004580908,789.1620328752425,0,0,0,0,0,0,14.145930981308943,14.145762802951197,14.14609915966669,0.17494896308751443,0.1746422082945982,0.17525571788043065,28.008333333333333,27.977402437670364,28.039264228996302,13.330106626161808,13.290922396367426,13.369290855956189,0,0,0,9,9,9,14.003824286343121,14.003816906857676,14.003831665828567,14.000010902576786,14.000009300594327,14.000012504559246
p3u_t14_d1,P3-U,14,1,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1027.8666666666666,1027.5734813330519,1028.1598520002813,0.38414586108804943,0.3816490046659796,0.38664271751011925,1648.7,1631.3448731719302,1666.05512682807,139.93333333333334,136.88684845734645,142.97981820932023,0,0,0,0,0,0,14.44481141680921,14.444345348541257,14.445277485077165,0.30385588487314846,0.30335483776465244,0.3043569319816445,42.983333333333334,42.95777662004954,43.008890046617125,4.6500543372259475,4.579006239493388,4.721102434958507,4,4,4,3,3,3,14.494610146202941,14.493771735264735,14.495448557141147,14.133562359556993,14.132350805491704,14.134773913622283
