model_version,protocol_version,config_id,seed,demand_stream_id,policy,demand,population,delay,gain,fixed_budget,requests_received,requests_dispatched,completion_rate,final_queue,mean_wait_minutes,p95_wait_minutes,distance_units,energy_points,charging_minutes,mean_utilization,peak_period_exposure,cumulative_exposure,population_weighted_burden,exposure_gini,total_budget_adjustment,budget_at_bound_share,budget_oscillations,route_switching,route_1_share,route_2_share,route_3_share
0.6,0.1,P3-U_D80_C_L1_G0p15,423,d80-s423,P3-U,80,concentrated,1,0.15,,2715,1503,0.5535911602209945,1212,1785.5016633399866,4217.0999999999985,21398,42796,10699,0.5296006944444446,39.19999999999998,4619.700000000001,577.72,0.20880143732277,171.24000000000004,0.18055555555555555,2,0.4292508163145393,0.4524284763805722,0.35395874916833003,0.1936127744510978
0.6,0.1,P3-U_D80_C_L1_G0p6,423,d80-s423,P3-U,80,concentrated,1,0.6,,2715,1493,0.5499079189686924,1222,1816.8057602143335,4248,21390,42780,10695,0.5289930555555554,39.19999999999998,4551.900000000001,548.1066666666667,0.15687222185607475,269.04000000000013,0.4675925925925926,10,0.6500911796059866,0.420629604822505,0.33087742799732084,0.24849296718017413
0.6,0.1,P3-U_D80_C_L1_G1p5,423,d80-s423,P3-U,80,concentrated,1,1.5,,2715,1509,0.5558011049723757,1206,1816.0762094102054,4175.6,21394,42788,10697,0.5297743055555557,69.99999999999999,4656.900000000001,608.0733333333334,0.19824346668384552,2291.6,0.5,45,6.4874873459108615,0.4115308151093439,0.3797216699801193,0.20874751491053678
0.6,0.1,P3-U_D80_C_L3_G0p15,423,d80-s423,P3-U,80,concentrated,3,0.15,,2715,1503,0.5535911602209945,1212,1777.5894876912841,4217.0999999999985,21402,42804,10701,0.5296875000000001,39.19999999999998,4623.100000000001,580.6711111111111,0.21174344295193936,167.94000000000003,0.1574074074074074,3,0.4810500658927417,0.4530938123752495,0.35662009314703924,0.19028609447771125
0.6,0.1,P3-U_D80_C_L3_G0p6,423,d80-s423,P3-U,80,concentrated,3,0.6,,2715,1489,0.5484346224677716,1226,1819.6111484217595,4258.999999999999,21426,42852,10713,0.5296006944444444,54.599999999999966,4531.500000000001,531.7999999999998,0.1750757046354532,643.0600000000007,0.3148148148148148,17,2.2147529797751937,0.4486232370718603,0.3169912693082606,0.23438549361987912
0.6,0.1,P3-U_D80_C_L3_G1p5,423,d80-s423,P3-U,80,concentrated,3,1.5,,2715,1506,0.554696132596685,1209,1845.4501992031871,4188,21400,42800,10700,0.5297743055555556,69.99999999999999,4657.600000000001,626.3044444444445,0.1899929386617809,1558.8000000000002,0.5092592592592593,25,3.9005137629821074,0.37250996015936255,0.397742363877822,0.2297476759628154
0.6,0.1,P3-D_D80_C_L0_G0p15,423,d80-s423,P3-D,80,concentrated,0,0.15,,2715,1514,0.5576427255985267,1201,1775.1532364597094,4178.4,21404,42808,10702,0.5302083333333334,39.19999999999998,4689,608.1,0.2528565673799197,131.61749999999995,0.05555555555555555,1,0.5346102150537634,0.47688243064729197,0.3771466314398943,0.14597093791281374
0.6,0.1,P3-D_D80_C_L0_G0p6,423,d80-s423,P3-D,80,concentrated,0,0.6,,2715,1496,0.551012891344383,1219,1811.6296791443851,4243.75,21398,42796,10699,0.529296875,39.19999999999998,4573.2,557.4533333333334,0.17457263088331065,221.04,0.3425925925925926,13,0.5094007327944398,0.4318181818181818,0.3382352941176471,0.22994652406417113
0.6,0.1,P3-D_D80_C_L0_G1p5,423,d80-s423,P3-D,80,concentrated,0,1.5,,2715,1493,0.5499079189686924,1222,1819.3221701272605,4248,21398,42796,10699,0.5291666666666667,39.19999999999998,4548.9000000000015,545.8733333333333,0.15305287480978325,252.37500000000026,0.5462962962962963,19,0.5568368703465874,0.4186202277294039,0.32886805090421967,0.2525117213663764
0.6,0.1,P3-D_D80_C_L1_G0p15,423,d80-s423,P3-D,80,concentrated,1,0.15,,2715,1512,0.5569060773480663,1203,1772.3723544973545,4182.45,21360,42720,10680,0.5291666666666667,39.19999999999998,4685.6,609.3488888888888,0.2563314552387457,130.4099999999999,0.041666666666666664,1,0.5633066090000253,0.47883597883597884,0.37896825396825395,0.1421957671957672
