budget,method,method_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,runtime_ms
14.05,Rolling 10 fair,rolling10_fair,505,120,14696,4680,0.3184540010887316,0.34373852368710983,0.3088089739359947,10016,18675.604557207058,34646.775239090806,34763.581556967874,38706,0.32173319686113955,0.3173883473135343,0.3183826027862725,0.3333333333333333,0.3333333333333333,0.3333333333333333,244.2180840000001
14.05,Rolling 10 fair,rolling10_fair,506,120,14887,4680,0.31436824074696046,0.3439911797133407,0.30478671442526867,10207,18698.654425201177,34678.20954049226,34796.72553413245,38684,0.3193052772211089,0.3135092108255629,0.31203614069054536,0.3333333333333333,0.3333333333333333,0.3333333333333333,225.2312499999971
14.05,Rolling 10 fair,rolling10_fair,507,120,14932,4680,0.31342084114653096,0.3388848660391021,0.301255230125523,10252,18781.91623237764,34639.32558413686,34756.34626782196,38578,0.2975801177240026,0.3160202360876897,0.32192010741859683,0.3333333333333333,0.3333333333333333,0.3333333333333333,276.5608749999956
14.05,Rolling 10 fair,rolling10_fair,508,120,15103,4680,0.3098722108190426,0.3336898395721925,0.3009646302250804,10423,19007.196116919393,34909.208419333925,35027.84642132179,38949,0.3100033014196104,0.3087501386270378,0.31305201177625125,0.3333333333333333,0.3333333333333333,0.3333333333333333,271.3099999999977
14.05,Rolling 10 fair,rolling10_fair,509,120,15068,4680,0.31059198301035307,0.35240963855421686,0.2932330827067669,10388,18575.61459559071,34538.872630459635,34662.244188003046,38739,0.29241516966067865,0.3152665857158627,0.3146853146853147,0.3333333333333333,0.3333333333333333,0.3333333333333333,265.5394159999996
14.05,Rolling 10 fair,rolling10_fair,510,120,15073,4680,0.31048895375837593,0.3424807903402854,0.3075911929017417,10393,18707.93780755398,34593.63684746021,34707.86544393535,38576,0.31083361457981773,0.31118688813111867,0.3080490228552501,0.3333333333333333,0.3333333333333333,0.3333333333333333,258.45850000000064
14.05,Rolling 10 fair,rolling10_fair,511,120,14783,4680,0.316579855239126,0.35082458770614694,0.312,10103,18461.763536940096,34154.761000244034,34273.31958727886,38155,0.32219159200551345,0.31616982836495033,0.31239669421487604,0.3333333333333333,0.3333333333333333,0.3333333333333333,252.07158399999753
14.05,Rolling 10 fair,rolling10_fair,512,120,14929,4680,0.3134838234309063,0.3606936416184971,0.3027166882276843,10249,18311.625644674634,34134.22838504556,34251.813725062486,38138,0.303904326415758,0.31664649576411047,0.31297964631297964,0.3333333333333333,0.3333333333333333,0.3333333333333333,251.53641599999537
14.05,Rolling 10 fair,rolling10_fair,513,120,14926,4680,0.3135468310330966,0.350693143499438,0.3050847457627119,10246,18445.88351849727,34110.3534315073,34224.30473921928,38046,0.3112332531776022,0.3178984861976848,0.302870339821841,0.3333333333333333,0.3333333333333333,0.3333333333333333,286.82112499999494
14.05,Rolling 10 fair,rolling10_fair,514,120,14983,4680,0.31235400120136153,0.3439911797133407,0.31252086811352253,10303,18778.575548629113,34866.37121254408,34987.85252879444,39064,0.314003294892916,0.31492388043115904,0.302814513394371,0.3333333333333333,0.3333333333333333,0.3333333333333333,277.388291999996
