demand,target,policy,policy_id,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,oldest_queue_age_mean,oldest_queue_age_ci_low,oldest_queue_age_ci_high,north_dispatched_mean,north_dispatched_ci_low,north_dispatched_ci_high,central_dispatched_mean,central_dispatched_ci_low,central_dispatched_ci_high,south_dispatched_mean,south_dispatched_ci_low,south_dispatched_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high,population_weighted_exposure_mean,population_weighted_exposure_ci_low,population_weighted_exposure_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
80,14.05,P3-U,p3u,81,30,42,42,42,6567.166666666667,6533.723109187561,6600.610224145773,24394.227050811853,24323.963828899952,24464.490272723753,24512.411572878857,24443.342251944527,24581.480893813186,24577.766666666666,24509.405198305194,24646.12813502814,8.4,7.425195380613627,9.374804619386373,25.466666666666665,24.359783319924553,26.573550013408777,8.133333333333333,7.3599181969543785,8.906748469712287,14.465239154572215,14.464755782133075,14.465722527011355,14.140603170888795,14.140597273205117,14.140609068572473,14.410878087729431,14.410396202645698,14.411359972813164,14.124161772023673,14.124142980664098,14.124180563383247,0.9814093816099104,0.9814073283726102,0.9814114348472106
80,14.05,P3-U,p3u,82,30,42,42,42,6654.133333333333,6621.723639892879,6686.5430267737875,24711.501669812937,24642.848710870403,24780.15462875547,24833.434735318948,24764.662951105307,24902.20651953259,24898.633333333335,24830.22132071652,24967.04534595015,7.866666666666666,6.976465122480166,8.756868210853167,26,24.72526369641476,27.27473630358524,8.133333333333333,7.167021262024541,9.099645404642125,14.410878087729431,14.410396202645698,14.411359972813164,14.140599925823134,14.140594187765597,14.14060566388067,14.356516185196154,14.356035860022494,14.356996510369815,14.12415176587526,14.124133620613229,14.12416991113729,0.9826614077085164,0.9826592829910556,0.9826635324259771
80,14.05,P3-U,p3u,83,30,42,42,42,6741.066666666667,6707.96966104827,6774.1636722850635,25029.153333124814,24962.29365035865,25096.013015890978,25151.631021436107,25085.78209477525,25217.479948096963,25220.8,25154.997876444148,25286.60212355585,8.066666666666666,7.05919128168647,9.074142051646863,25.7,24.560034846267598,26.8399651537324,8.233333333333333,7.373665002029484,9.09300166463718,14.356516185196154,14.356035860022494,14.356996510369815,14.1405868029263,14.140580834099072,14.140592771753528,14.302156229702275,14.30167753208628,14.30263492731827,14.12411016963241,14.12409112398391,14.12412921528091,0.9849594942733668,0.9849268472693138,0.9849921412774199
80,14.05,P3-U,p3u,84,30,42,42,42,6822.633333333333,6789.920045176872,6855.346621489794,25348.19674737247,25283.397765691992,25412.995729052946,25468.921192871458,25403.689208161577,25534.15317758134,25538.433333333334,25473.763391261527,25603.10327540514,8.166666666666666,7.284687526853748,9.048645806479584,24.933333333333334,23.57822660781394,26.28844005885273,8.9,7.786686048761183,10.013313951238818,14.302156229702275,14.30167753208628,14.30263492731827,14.140585582060845,14.14057939940013,14.140591764721561,14.247804147946493,14.247328098016286,14.2482801978767,14.124105904974863,14.124086169837222,14.124125640112505,0.9887030650109022,0.9886702683314301,0.9887358616903743
80,14.05,P3-U,p3u,85,30,42,42,42,6908.9,6875.510716656285,6942.2892833437145,25672.04293683238,25608.027328866436,25736.05854479832,25793.698142256177,25729.94422120962,25857.452063302735,25861.8,25798.166050371052,25925.433949628947,7.766666666666667,6.9765886938911095,8.556744639442224,25,23.85674712926808,26.14325287073192,9.233333333333333,8.196695650329403,10.269971016337262,14.247804147946493,14.247328098016286,14.2482801978767,14.14058710537186,14.140581813622367,14.140592397121354,14.19345279870999,14.192979287815824,14.193926309604155,14.124110862453882,14.124093935862208,14.124127789045557,0.9924748457234805,0.9924419368309986,0.9925077546159625
80,14.05,P3-U,p3u,86,30,42,42,42,6994.466666666666,6960.2399977754785,7028.693335557854,25994.12607628527,25931.28820993704,26056.963942633498,26116.947632524607,26053.367816449347,26180.527448599867,26184.733333333334,26121.23793284658,26248.228733820088,9.4,8.342626807146353,10.457373192853648,24.233333333333334,23.46020371291921,25.00646295374746,8.366666666666667,7.2215485195389455,9.511784813794389,14.19345279870999,14.192979287815824,14.193926309604155,14.140583855472633,14.140578725258441,14.140588985686824,14.139100535486875,14.13862918478187,14.13957188619188,14.124100161769181,14.124083878797077,14.124116444741286,0.9962751258829855,0.9962420353518127,0.9963082164141583
80,14.05,P3-U,p3u,87,30,41,41,41,7082.433333333333,7048.232224703949,7116.634441962718,26307.034788795085,26241.97504286516,26372.09453472501,26427.297510068165,26360.99868512252,26493.59633501381,26500.8,26434.72392137098,26566.87607862902,8.6,7.772167821993776,9.427832178006224,24.566666666666666,23.6426341582405,25.490699175092832,7.833333333333333,6.879207467117363,8.787459199549303,14.139100535486875,14.13862918478187,14.13957188619188,13.306414178455137,13.17145347356918,13.441374883341094,14.084750222203297,14.084280121898125,14.08522032250847,13.48903253199843,13.407976078625687,13.570088985371171,0.9904682487406615,0.988960180842371,0.991976316638952
80,14.05,P3-U,p3u,88,30,41,41,41,7168.066666666667,7134.757411513853,7201.37592181948,26630.223484623588,26564.52630098176,26695.920668265415,26753.321849756816,26687.241563049763,26819.40213646387,26827.866666666665,26761.66018231616,26894.073151017168,8,7.19159814249447,8.80840185750553,25,23.88411099303646,26.11588900696354,8,7.064962475398023,8.935037524601977,14.084750222203297,14.084280121898125,14.08522032250847,13.140584281336844,13.14057872135037,13.140589841323319,14.530901715130208,14.449964544088658,14.611838886171757,13.389438720123259,13.38942108192364,13.389456358322878,0.9898859312522567,0.9898839186118332,0.9898879438926801
80,14.05,P3-U,p3u,89,30,41.833333333333336,41.69769238290556,41.96897428376111,7257.533333333334,7223.705309163291,7291.361357503377,26962.236057825372,26895.797536470433,27028.67457918031,27083.76099111572,27016.87084975797,27150.65113247347,27152.2,27085.136783231712,27219.26321676829,7.566666666666666,6.840664397373273,8.29266893596006,24.866666666666667,23.645958399172134,26.0873749341612,9.4,8.262167254680268,10.537832745319733,14.530901715130208,14.449964544088658,14.611838886171757,13.973927910517524,13.838286216802304,14.109569604232744,15.076551146328109,14.995613850005007,15.15748844265121,14.00169030036843,13.902037451867262,14.1013431488696,0.9872596444699387,0.9828577041316944,0.9916615848081831
80,14.05,P3-U,p3u,90,30,42.833333333333336,42.69769238290556,42.96897428376111,7339.766666666666,7305.5941027878225,7373.93923054551,27288.57159229862,27220.920288908444,27356.222895688796,27420.943457979774,27352.916385294226,27488.970530665323,27476.033333333333,27407.368771683196,27544.69789498347,8.433333333333334,7.50453446328871,9.362132203377957,25.2,24.09844849229011,26.30155150770989,9.2,8.186116785613947,10.213883214386051,15.076551146328109,14.995613850005007,15.15748844265121,14.973936172780379,14.838292803709688,15.109579541851069,15.122194400017596,15.121548586948068,15.122840213087125,14.736379869219892,14.636721880379058,14.836037858060726,0.9945437886014226,0.9915105628851487,0.9975770143176964
