budget,method,method_id,period,cases,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,oldest_queue_age_mean,oldest_queue_age_ci_low,oldest_queue_age_ci_high,north_dispatched_mean,north_dispatched_ci_low,north_dispatched_ci_high,central_dispatched_mean,central_dispatched_ci_low,central_dispatched_ci_high,south_dispatched_mean,south_dispatched_ci_low,south_dispatched_ci_high,north_trips_mean,north_trips_ci_low,north_trips_ci_high,central_trips_mean,central_trips_ci_low,central_trips_ci_high,south_trips_mean,south_trips_ci_low,south_trips_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14.1,Rolling 3 fair,rolling3_fair,72,30,41,41,41,5882.1,5851.825034667484,5912.374965332517,21818.71057473746,21752.250633048778,21885.17051642614,21939.7437354722,21873.38080095287,22006.106669991528,22016.166666666668,21949.65174675135,22082.681586581984,8.133333333333333,7.228373343955084,9.038293322711581,24.4,23.61038790259532,25.189612097404677,8.466666666666667,7.528172429630449,9.405160903702884,14,14,14,13,13,13,14,14,14,0.9982572437316766,0.9982569347099004,0.9982575527534527
14.1,Rolling 3 fair,rolling3_fair,73,30,41,41,41,5972.133333333333,5942.276436281766,6001.9902303849,22146.168644849786,22078.297847714624,22214.039441984947,22271.714920404243,22204.720201426884,22338.709639381603,22348.3,22281.091313118945,22415.508686881054,7.833333333333333,6.981922964088139,8.684743702578526,24.666666666666668,23.461979524247063,25.871353809086273,8.5,7.497724428193981,9.502275571806019,14,14,14,13,13,13,14,14,14,0.9982573760877539,0.9982570676253711,0.9982576845501366
14.1,Rolling 3 fair,rolling3_fair,74,30,41,41,41,6058.066666666667,6028.518659958186,6087.6146733751475,22476.649333956488,22409.485125378695,22543.81354253428,22596.82229293518,22530.48836038707,22663.15622548329,22674.5,22608.301718513816,22740.698281486184,8.266666666666667,7.346225126778071,9.187108206555264,24.9,23.86478314782144,25.935216852178556,7.833333333333333,6.98712511280459,8.679541553862077,14,14,14,13,13,13,14,14,14,0.9982573250313475,0.9982570872084585,0.9982575628542364
14.1,Rolling 3 fair,rolling3_fair,75,30,41,41,41,6143.733333333334,6113.444576074137,6174.02209059253,22805.461093559858,22739.290775534057,22871.63141158566,22928.223852305593,22860.695635164448,22995.75206944674,23004.566666666666,22937.08629744302,23072.04703589031,8.2,7.14346234516135,9.256537654838649,23.933333333333334,22.984544518812744,24.882122147853924,8.866666666666667,7.9715186042547295,9.761814729078605,14,14,14,13,13,13,14,14,14,0.9982574891746726,0.9982572103585146,0.9982577679908307
14.1,Rolling 3 fair,rolling3_fair,76,30,41,41,41,6232.033333333334,6199.968434632819,6264.098232033849,23131.92212744047,23063.94074979427,23199.90350508667,23253.919149497022,23186.27722988378,23321.561069110263,23328.433333333334,23261.276140189046,23395.590526477623,7.966666666666667,7.1665919958219995,8.766741337511334,25,23.949329715858962,26.050670284141038,8.033333333333333,7.233258662488666,8.833408004178,14,14,14,13,13,13,14,14,14,0.9982577079693639,0.9982573506784558,0.9982580652602719
14.1,Rolling 3 fair,rolling3_fair,77,30,41,41,41,6318.966666666666,6286.57799570944,6351.355337623892,23456.5676034555,23388.966338375016,23524.168868535984,23582.165079906692,23515.65240375602,23648.677756057365,23658.866666666665,23592.46146308346,23725.27187024987,8.366666666666667,7.523595143087717,9.209738190245616,24,23.079238695800946,24.920761304199054,8.633333333333333,7.593293575767302,9.673373090899364,14,14,14,13,13,13,14,14,14,0.9982572985520033,0.9982570379295916,0.9982575591744149
14.1,Rolling 3 fair,rolling3_fair,78,30,41,41,41,6406.033333333334,6373.987444139998,6438.07922252667,23785.53033152292,23717.999254693666,23853.061408352176,23905.026203709876,23836.790694867013,23973.26171255274,23979.666666666668,23911.315750290207,24048.01758304313,8.166666666666666,7.185165900090668,9.148167433242664,24.633333333333333,23.395562280158867,25.8711043865078,8.2,7.336658403270363,9.063341596729636,14,14,14,13,13,13,14,14,14,0.9982571943641343,0.9982569551241794,0.9982574336040891
14.1,Rolling 3 fair,rolling3_fair,79,30,41,41,41,6489.266666666666,6456.014463203481,6522.518870129852,24106.491816986523,24037.09461532996,24175.889018643087,24229.852992218523,24160.060844594886,24299.64513984216,24306.066666666666,24235.895801338494,24376.237531994837,7.966666666666667,7.16109187603887,8.772241457294463,24.733333333333334,23.41790980262769,26.048756864038978,8.3,7.103342355875593,9.49665764412441,14,14,14,13,13,13,14,14,14,0.9982574704514343,0.9982571753081464,0.9982577655947222
14.1,Rolling 3 fair,rolling3_fair,80,30,41,41,41,6576.433333333333,6543.05948237138,6609.807184295287,24437.921994542477,24366.875137856314,24508.96885122864,24559.9617402635,24486.906376743438,24633.017103783564,24635,24561.720797851052,24708.279202148948,8.133333333333333,7.139982133926001,9.126684532740665,25.166666666666668,23.955582101595017,26.37775123173832,7.7,7.021361335627265,8.378638664372735,14,14,14,13,13,13,14,14,14,0.9982572718808884,0.9982569939969913,0.9982575497647855
14.1,Rolling 3 fair,rolling3_fair,81,30,41,41,41,6663.7,6630.2981819945535,6697.101818005446,24761.10295686161,24687.528796358212,24834.67711736501,24882.21968426934,24808.017664164414,24956.42170437427,24956.933333333334,24882.785666143867,25031.0810005228,8.366666666666667,7.348076280162393,9.385257053170942,25.433333333333334,24.2237080533364,26.64295861333027,7.2,6.352140978971015,8.047859021028986,14,14,14,13,13,13,14,14,14,0.9982573036242844,0.998257029016782,0.9982575782317868
14.1,Rolling 3 fair,rolling3_fair,82,30,41,41,41,6751.666666666667,6719.2931526260045,6784.0401807073295,25083.34587895622,25010.31464354847,25156.37711436397,25204.16725911646,25133.28673475374,25275.04778347918,25279.9,25208.944020242434,25350.85597975757,7.933333333333334,7.022536923801073,8.844129742865595,25.066666666666666,23.863446568195908,26.269886765137425,8,6.920311666937295,9.079688333062705,14,14,14,13,13,13,14,14,14,0.9982576252627762,0.9982573443219911,0.9982579062035613
14.1,Rolling 3 fair,rolling3_fair,83,30,41,41,41,6839.6,6806.537344295915,6872.662655704085,25403.427510013706,25332.42397389207,25474.43104613534,25523.055749068368,25452.233676762655,25593.87782137408,25597.5,25526.98552586179,25668.01447413821,8.166666666666666,7.336260405017001,8.997072928316332,24.5,23.437835218533156,25.562164781466844,8.333333333333334,7.485821582038772,9.180845084627896,14,14,14,13,13,13,14,14,14,0.9982574271183405,0.9982571534635231,0.998257700773158
14.1,Rolling 3 fair,rolling3_fair,84,30,41,41,41,6922.166666666667,6889.4831415914705,6954.8501917418635,25722.207926328225,25653.248090792946,25791.167761863504,25844.850070369557,25776.083666358238,25913.616474380877,25920,25851.603898423928,25988.396101576072,8.166666666666666,7.27473072064769,9.058602612685643,24.933333333333334,23.821673196179717,26.04499347048695,7.9,7.057627106351337,8.742372893648664,14,14,14,13,13,13,14,14,14,0.9982574906735199,0.9982572017502391,0.9982577795968006
14.1,Rolling 3 fair,rolling3_fair,85,30,41,41,41,7009.433333333333,6976.073112893403,7042.793553773264,26045.27856036822,25977.708118167342,26112.8490025691,26165.633097390066,26099.557463720284,26231.708731059847,26241.433333333334,26175.440821722394,26307.425844944275,7.666666666666667,6.518275554895999,8.815057778437334,25.6,24.344108358140737,26.855891641859266,7.733333333333333,6.734662154914048,8.732004511752619,14,14,14,13,13,13,14,14,14,0.9982573813684651,0.99825708995719,0.9982576727797402
14.1,Rolling 3 fair,rolling3_fair,86,30,41,41,41,7096,7061.803111306409,7130.196888693591,26368.841460847354,26303.962374647697,26433.72054704701,26487.399180576565,26422.819983761696,26551.978377391435,26561.933333333334,26496.831243166256,26627.035423500412,8.266666666666667,7.237510229005183,9.295823104328152,24.633333333333333,23.360387999175266,25.9062786674914,8.1,7.196912371711462,9.003087628288537,14,14,14,13,13,13,14,14,14,0.9982574555231591,0.9982571802118722,0.9982577308344461
14.1,Rolling 3 fair,rolling3_fair,87,30,41,41,41,7183.966666666666,7149.795808477795,7218.137524855538,26692.133660776,26627.647900365402,26756.619421186595,26819.0524334357,26755.460965207625,26882.643901663774,26893.7,26830.24597574531,26957.15402425469,7.5,6.629781108260554,8.370218891739446,24.066666666666666,23.020488846861955,25.112844486471378,9.433333333333334,8.431351511701212,10.435315154965455,14,14,14,13,13,13,14,14,14,0.9982575793012257,0.9982573480949277,0.9982578105075237
