budget,method,cases,requests_mean,requests_ci_low,requests_ci_high,served_mean,served_ci_low,served_ci_high,service_rate_mean,service_rate_ci_low,service_rate_ci_high,gap_to_upper_bound_mean,gap_to_upper_bound_ci_low,gap_to_upper_bound_ci_high,blocked_requests_examined_mean,blocked_requests_examined_ci_low,blocked_requests_examined_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,38.947916666666664,38.84583333333333,39.05,0.3080906244331061,0.3055136807373938,0.31066756812881835,0.052083333333333336,-0.04999999999999998,0.15416666666666665,1.0,1.0,1.0,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.33472222222222214,0.3319999999999999,0.3374444444444444,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.9380256592352698,0.9377720690191301,0.9382792494514095
14,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9378914493522603,0.9378914442817884,0.9378914544227323
14.05,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,23.0,23.0,23.0,0.18193074629618422,0.18048985852097063,0.1833716340713978,16.0,16.0,16.0,104.39791666666666,103.40253102192736,105.39330231140596,0.31132246376811595,0.30644677705971346,0.31619815047651845,0.608695652173913,0.608695652173913,0.608695652173913,0.07998188405797099,0.07510619734956847,0.08485757076637351,0.9996578927618377,0.9996578544036147,0.9996579311200607
14.05,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,23.0,23.0,23.0,0.18193074629618422,0.18048985852097063,0.1833716340713978,16.0,16.0,16.0,1.0,1.0,1.0,0.31132246376811595,0.30644677705971346,0.31619815047651845,0.608695652173913,0.608695652173913,0.608695652173913,0.07998188405797099,0.07510619734956847,0.08485757076637351,0.9996578927618377,0.9996578544036147,0.9996579311200607
14.05,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9345537573287008,0.9345537520672145,0.9345537625901872
14.1,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,33.0,33.0,33.0,0.26103107077278603,0.2589637100518274,0.2630984314937447,8.0,8.0,8.0,94.39791666666666,93.40253102192736,95.39330231140596,0.4150883838383837,0.4129965512215022,0.4171802164552652,0.4242424242424241,0.4242424242424241,0.4242424242424241,0.16066919191919193,0.15857735930231043,0.16276102453607344,0.9996734928041792,0.999673434939314,0.9996735506690443
14.1,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,33.0,33.0,33.0,0.26103107077278603,0.2589637100518274,0.2630984314937447,8.0,8.0,8.0,1.0,1.0,1.0,0.4150883838383837,0.4129965512215022,0.4171802164552652,0.4242424242424241,0.4242424242424241,0.4242424242424241,0.16066919191919193,0.15857735930231043,0.16276102453607344,0.9996734928041792,0.999673434939314,0.9996735506690443
14.1,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,41.0,41.0,41.0,0.32431133035406756,0.3217427912765129,0.3268798694316222,0.0,0.0,0.0,0.0,0.0,0.0,0.34146341463414637,0.34146341463414637,0.34146341463414637,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.34146341463414637,0.34146341463414637,0.34146341463414637,0.9982534707122653,0.9982534642318612,0.9982534771926694
14.15,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,85.39791666666666,84.40253102192736,86.39330231140596,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9993349555403218,0.9993348767049433,0.9993350343757004
14.15,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,1.0,1.0,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9993349555403218,0.9993348767049433,0.9993350343757004
14.15,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9993298410774981,0.9993298347134998,0.9993298474414964
14.2,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,85.39791666666666,84.40253102192736,86.39330231140596,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9958161704856024,0.9958160919278133,0.9958162490433916
14.2,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,1.0,1.0,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9958161704856024,0.9958160919278133,0.9958162490433916
14.2,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9958110740314506,0.9958110676898607,0.9958110803730406
14.25,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,85.39791666666666,84.40253102192736,86.39330231140596,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9923220786593372,0.9923220003771893,0.9923221569414851
14.25,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,1.0,1.0,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9923220786593372,0.9923220003771893,0.9923221569414851
14.25,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9923170012170873,0.9923169947808814,0.9923170076532932
14.5,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,85.39791666666666,84.40253102192736,86.39330231140596,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9752130773031418,0.9752130003706861,0.9752131542355974
14.5,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,1.0,1.0,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9752130773031418,0.9752130003706861,0.9752131542355974
14.5,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9752080874030002,0.9752080810777635,0.975208093728237
15,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,41.94375,41.8335,42.054,0.33178867049403543,0.32901273057185915,0.3345646104162117,0.05625,-0.05399999999999997,0.16649999999999998,85.45416666666667,84.45152246947441,86.45681086385892,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.33472222222222214,0.3319999999999999,0.3374444444444444,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.9428253369307222,0.9425913863142773,0.9430592875471672
15,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,41.94375,41.8335,42.054,0.33178867049403543,0.32901273057185915,0.3345646104162117,0.05625,-0.05399999999999997,0.16649999999999998,1.0,1.0,1.0,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.33472222222222214,0.3319999999999999,0.3374444444444444,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.9428253369307222,0.9425913863142773,0.9430592875471672
15,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,42.0,42.0,42.0,0.3322213628017277,0.32959017642959854,0.3348525491738569,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9427011515139422,0.9427011453633176,0.9427011576645667
