config_id,policy,demand,population,delay,gain,fixed_budget,runs,requests_received_mean,requests_received_sd,requests_received_ci_low,requests_received_ci_high,requests_dispatched_mean,requests_dispatched_sd,requests_dispatched_ci_low,requests_dispatched_ci_high,completion_rate_mean,completion_rate_sd,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_sd,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_sd,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_sd,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,distance_units_mean,distance_units_sd,distance_units_ci_low,distance_units_ci_high,energy_points_mean,energy_points_sd,energy_points_ci_low,energy_points_ci_high,charging_minutes_mean,charging_minutes_sd,charging_minutes_ci_low,charging_minutes_ci_high,mean_utilization_mean,mean_utilization_sd,mean_utilization_ci_low,mean_utilization_ci_high,peak_period_exposure_mean,peak_period_exposure_sd,peak_period_exposure_ci_low,peak_period_exposure_ci_high,cumulative_exposure_mean,cumulative_exposure_sd,cumulative_exposure_ci_low,cumulative_exposure_ci_high,population_weighted_burden_mean,population_weighted_burden_sd,population_weighted_burden_ci_low,population_weighted_burden_ci_high,exposure_gini_mean,exposure_gini_sd,exposure_gini_ci_low,exposure_gini_ci_high,total_budget_adjustment_mean,total_budget_adjustment_sd,total_budget_adjustment_ci_low,total_budget_adjustment_ci_high,budget_at_bound_share_mean,budget_at_bound_share_sd,budget_at_bound_share_ci_low,budget_at_bound_share_ci_high,budget_oscillations_mean,budget_oscillations_sd,budget_oscillations_ci_low,budget_oscillations_ci_high,route_switching_mean,route_switching_sd,route_switching_ci_low,route_switching_ci_high,route_1_share_mean,route_1_share_sd,route_1_share_ci_low,route_1_share_ci_high,route_2_share_mean,route_2_share_sd,route_2_share_ci_low,route_2_share_ci_high,route_3_share_mean,route_3_share_sd,route_3_share_ci_low,route_3_share_ci_high
P3-U_D18_C_L3_G0p15,P3-U,18,concentrated,3,0.15,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.370382,0.210356,1.291843,1.448922,9.136667,1.033986,8.750613,9.52272,7635.733333,270.100228,7534.887575,7736.579092,15271.466667,540.200457,15069.77515,15473.158183,3817.866667,135.050114,3767.443787,3868.289546,0.191591,0.006765,0.189066,0.194117,43.166667,3.164494,41.985158,44.348176,2014.96,69.950478,1988.842995,2041.077005,422.590444,16.011825,416.612202,428.568687,0.575664,0.011144,0.571503,0.579825,254.7135,6.857244,252.153251,257.273749,0.352469,0.006517,0.350036,0.354902,13.533333,3.945607,12.060185,15.006482,2.064442,0.390969,1.918468,2.210416,0.201691,0.019749,0.194317,0.209064,0.797813,0.019177,0.790653,0.804973,0.000496,0.001172,0.000059,0.000934
P3-U_D18_C_L3_G0p6,P3-U,18,concentrated,3,0.6,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.383007,0.222123,1.300074,1.46594,9.201667,1.089803,8.794773,9.60856,7644.666667,275.126721,7541.944196,7747.389138,15289.333333,550.253442,15083.888392,15494.778275,3822.333333,137.563361,3770.972098,3873.694569,0.191785,0.006873,0.189219,0.194352,43.96,4.136765,42.41548,45.50452,2012.98,68.95622,1987.234215,2038.725785,420.379111,15.225995,414.694269,426.063953,0.572011,0.012537,0.56733,0.576692,335.322,20.956721,327.49751,343.14649,0.660802,0.022416,0.652433,0.669172,13.733333,4.042305,12.224081,15.242585,2.127016,0.38661,1.98267,2.271363,0.205373,0.020019,0.197898,0.212847,0.792812,0.020374,0.785205,0.800419,0.001815,0.003162,0.000635,0.002996
P3-U_D18_C_L3_G1p5,P3-U,18,concentrated,3,1.5,,30,596.966667,20.950654,589.144442,604.788891,596.366667,20.818565,588.59376,604.139574,0.999002,0.001097,0.998592,0.999411,0.6,0.674665,0.348104,0.851896,1.498728,0.269402,1.398143,1.599312,9.758333,1.305366,9.270956,10.24571,7779.866667,322.707056,7659.379402,7900.353932,15559.733333,645.414111,15318.758804,15800.707863,3889.933333,161.353528,3829.689701,3950.176966,0.194718,0.007896,0.19177,0.197666,43.12,4.16607,41.564539,44.675461,1983.883333,59.993678,1961.483841,2006.282826,387.772593,13.789575,382.624059,392.921126,0.517731,0.031031,0.506146,0.529317,428.685,48.726199,410.492381,446.877619,0.74321,0.013469,0.738181,0.748239,12.233333,3.28721,11.006007,13.46066,2.816024,0.499849,2.629398,3.002649,0.261645,0.032913,0.249356,0.273933,0.718612,0.042073,0.702904,0.73432,0.019743,0.011805,0.015336,0.02415
P3-D_D18_C_L0_G0p15,P3-D,18,concentrated,0,0.15,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.374214,0.209809,1.295879,1.452549,9.17,1.011963,8.792169,9.547831,7640.8,271.765924,7539.332331,7742.267669,15281.6,543.531847,15078.664661,15484.535339,3820.4,135.882962,3769.666165,3871.133835,0.191701,0.006802,0.189162,0.194241,41.72,2.187488,40.90327,42.53673,2014.013333,69.503355,1988.063268,2039.963399,421.49837,15.457293,415.72717,427.26957,0.573996,0.010928,0.569916,0.578076,220.7515,3.843253,219.316567,222.186433,0.213889,0.006479,0.21147,0.216308,16.4,3.756374,14.997504,17.802496,2.063022,0.380162,1.921082,2.204961,0.203791,0.019043,0.196681,0.210902,0.795331,0.018635,0.788374,0.802289,0.000877,0.001351,0.000373,0.001382
P3-D_D18_C_L0_G0p6,P3-D,18,concentrated,0,0.6,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.372792,0.214011,1.292888,1.452696,9.136667,1.033986,8.750613,9.52272,7637.333333,272.016396,7535.772147,7738.89452,15274.666667,544.032791,15071.544293,15477.78904,3818.666667,136.008198,3767.886073,3869.44726,0.191626,0.006807,0.189085,0.194168,43.54,3.791515,42.124384,44.955616,2014.586667,69.488916,1988.641992,2040.531341,422.177185,15.385166,416.432915,427.921455,0.574986,0.010672,0.571001,0.578971,300.418,12.064106,295.913695,304.922305,0.657562,0.019585,0.65025,0.664874,16.366667,3.6529,15.002805,17.730529,2.074302,0.391432,1.928155,2.220449,0.202335,0.019098,0.195205,0.209466,0.796898,0.018413,0.790023,0.803773,0.000767,0.001671,0.000143,0.001391
P3-D_D18_C_L0_G1p5,P3-D,18,concentrated,0,1.5,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.395228,0.228516,1.309909,1.480548,9.27,1.040192,8.881629,9.658371,7667.333333,286.997937,7560.178575,7774.488092,15334.666667,573.995875,15120.35715,15548.976183,3833.666667,143.498969,3780.089288,3887.244046,0.192277,0.007132,0.189614,0.19494,42.98,3.770064,41.572393,44.387607,2008.006667,66.091686,1983.330396,2032.682937,414.814741,12.278869,410.230251,419.399231,0.562849,0.014443,0.557456,0.568241,351.495,16.901589,345.184551,357.805449,0.791821,0.017971,0.785111,0.798531,15.333333,3.304473,14.099561,16.567105,2.230464,0.35103,2.099402,2.361526,0.21471,0.019604,0.207391,0.222029,0.780243,0.021539,0.772201,0.788285,0.005047,0.005639,0.002942,0.007153
P3-D_D18_C_L1_G0p15,P3-D,18,concentrated,1,0.15,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.37462,0.209605,1.296361,1.452879,9.17,1.011963,8.792169,9.547831,7639.866667,271.484772,7538.503969,7741.229364,15279.733333,542.969545,15077.007938,15482.458728,3819.933333,135.742386,3769.251985,3870.614682,0.191681,0.006796,0.189144,0.194218,41.953333,2.220707,41.124201,42.782466,2014.153333,69.591159,1988.170485,2040.136182,421.667926,15.552869,415.861041,427.474811,0.574224,0.010914,0.570149,0.578299,219.5505,3.698213,218.169719,220.931281,0.186265,0.00628,0.183921,0.18861,15.5,3.588776,14.16008,16.83992,2.0639,0.389337,1.918535,2.209265,0.203403,0.019165,0.196248,0.210559,0.795716,0.018679,0.788742,0.80269,0.00088,0.001359,0.000373,0.001388
P3-D_D18_C_L1_G0p6,P3-D,18,concentrated,1,0.6,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.371654,0.212868,1.292177,1.451131,9.163333,1.066814,8.765023,9.561643,7636.4,270.69484,7535.332235,7737.467765,15272.8,541.389681,15070.66447,15474.93553,3818.2,135.34742,3767.666117,3868.733883,0.191606,0.006778,0.189075,0.194137,43.68,3.966619,42.199006,45.160994,2014.806667,69.777375,1988.754292,2040.859041,422.420296,15.673103,416.568521,428.272072,0.575387,0.010598,0.57143,0.579343,298.704,12.093036,294.188893,303.219107,0.622222,0.02033,0.614632,0.629813,15.5,3.683608,14.124673,16.875327,2.068032,0.393623,1.921067,2.214996,0.201962,0.019057,0.194847,0.209077,0.797433,0.018346,0.790583,0.804283,0.000605,0.001423,0.000074,0.001136
P3-D_D18_C_L1_G1p5,P3-D,18,concentrated,1,1.5,,30,596.966667,20.950654,589.144442,604.788891,596.366667,20.818565,588.59376,604.139574,0.999002,0.001097,0.998592,0.999411,0.6,0.674665,0.348104,0.851896,1.391131,0.223946,1.307518,1.474744,9.261667,1.065176,8.863968,9.659365,7665.6,286.620932,7558.586002,7772.613998,15331.2,573.241864,15117.172004,15545.227996,3832.8,143.310466,3779.293001,3886.306999,0.192238,0.007121,0.189579,0.194897,43.353333,4.134859,41.809525,44.897142,2007.903333,65.696473,1983.374622,2032.432045,414.856815,12.342049,410.248735,419.464894,0.562752,0.015462,0.556979,0.568525,354.675,22.295519,346.350651,362.999349,0.754321,0.019374,0.747087,0.761555,14.666667,3.262465,13.448579,15.884754,2.226699,0.332783,2.10245,2.350948,0.214159,0.019978,0.2067,0.221618,0.780415,0.022607,0.771974,0.788856,0.005426,0.006186,0.003116,0.007736
P3-D_D18_C_L3_G0p15,P3-D,18,concentrated,3,0.15,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.373676,0.209811,1.29534,1.452012,9.17,1.011963,8.792169,9.547831,7639.066667,271.977551,7537.519983,7740.61335,15278.133333,543.955103,15075.039966,15481.226701,3819.533333,135.988776,3768.759992,3870.306675,0.191664,0.006806,0.189123,0.194205,41.953333,2.280764,41.101778,42.804889,2014.3,69.466618,1988.363651,2040.236349,421.837778,15.507568,416.047807,427.627749,0.574493,0.011257,0.57029,0.578695,217.20175,3.608487,215.85447,218.54903,0.130556,0.006247,0.128223,0.132888,13.5,3.937004,12.030064,14.969936,2.068132,0.379639,1.926389,2.209876,0.203061,0.01938,0.195825,0.210297,0.796119,0.019093,0.788991,0.803248,0.000819,0.001277,0.000342,0.001296
P3-D_D18_C_L3_G0p6,P3-D,18,concentrated,3,0.6,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.369846,0.210704,1.291176,1.448515,9.136667,1.033986,8.750613,9.52272,7634,268.607649,7533.711517,7734.288483,15268,537.215297,15067.423035,15468.576965,3817,134.303824,3766.855759,3867.144241,0.191554,0.006733,0.18904,0.194068,43.773333,3.95866,42.295311,45.251355,2015.3,70.286674,1989.057471,2041.542529,422.978889,16.364443,416.868991,429.088786,0.576261,0.011159,0.572094,0.580427,294.597,12.110162,290.075499,299.118501,0.551852,0.021107,0.543971,0.559733,13.533333,3.945607,12.060185,15.006482,2.069572,0.391287,1.923479,2.215664,0.200985,0.019865,0.193569,0.208402,0.798679,0.019238,0.791496,0.805862,0.000335,0.001355,-0.00017,0.000841
P3-D_D18_C_L3_G1p5,P3-D,18,concentrated,3,1.5,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.40401,0.237203,1.315447,1.492574,9.27,1.123081,8.850682,9.689318,7666.666667,289.059513,7558.74219,7774.591144,15333.333333,578.119027,15117.48438,15549.182287,3833.333333,144.529757,3779.371095,3887.295572,0.192263,0.007172,0.189585,0.194941,43.773333,3.95866,42.295311,45.251355,2008.293333,66.713985,1983.384719,2033.201948,415.107481,15.043436,409.490801,420.724162,0.563389,0.019303,0.556182,0.570596,351.565,25.122076,342.185316,360.944684,0.679938,0.022177,0.671658,0.688219,13.666667,3.898128,12.211245,15.122088,2.203786,0.393545,2.05685,2.350721,0.214426,0.025697,0.204832,0.224021,0.780901,0.028713,0.770181,0.791621,0.004673,0.006652,0.002189,0.007157
P0_D45_D,P0,45,dispersed,,,,30,1505.7,41.635653,1490.154737,1521.245263,1448.366667,19.66878,1441.023048,1455.710285,0.962409,0.020606,0.954715,0.970103,57.333333,32.500752,45.198716,69.467951,136.338056,70.014361,110.197199,162.478912,368.445,178.40388,301.835376,435.054624,18534.666667,262.224086,18436.761578,18632.571755,37069.333333,524.448172,36873.523156,37265.143511,9267.333333,131.112043,9218.380789,9316.285878,0.465091,0.006537,0.46265,0.467532,86.146667,3.092118,84.99218,87.301153,4896.863333,67.040531,4871.832799,4921.893868,544.095926,7.448948,541.314755,546.877096,0.578188,0.006521,0.575753,0.580622,0,0,0,0,0,0,0,0,0,0,0,0,1.442902,0.247164,1.350619,1.535184,0.198405,0.010982,0.194305,0.202505,0.801595,0.010982,0.797495,0.805695,0,0,0,0
P1_D45_D,P1,45,dispersed,,,,30,1505.7,41.635653,1490.154737,1521.245263,1448.366667,19.66878,1441.023048,1455.710285,0.962409,0.020606,0.954715,0.970103,57.333333,32.500752,45.198716,69.467951,136.338056,70.014361,110.197199,162.478912,368.445,178.40388,301.835376,435.054624,18534.666667,262.224086,18436.761578,18632.571755,37069.333333,524.448172,36873.523156,37265.143511,9267.333333,131.112043,9218.380789,9316.285878,0.465091,0.006537,0.46265,0.467532,68.086667,2.638016,67.101726,69.071607,4665.05,61.626862,4642.040735,4688.059265,518.338889,6.847429,515.782304,520.895474,0.353234,0.012348,0.348623,0.357844,0,0,0,0,0,0,0,0,0,0,0,0,2.291635,0.248859,2.19872,2.38455,0.198405,0.010982,0.194305,0.202505,0.601565,0.012608,0.596858,0.606273,0.20003,0.013111,0.195135,0.204925
P2_D45_D_B28,P2,45,dispersed,,,28,30,1505.7,41.635653,1490.154737,1521.245263,1346.266667,18.364008,1339.410203,1353.12313,0.894672,0.023798,0.885787,0.903557,159.433333,39.536699,144.671745,174.194922,358.391355,89.641247,324.922522,391.860189,954.573333,223.963418,870.953409,1038.193258,19181.466667,268.792925,19081.109008,19281.824325,38362.933333,537.585851,38162.218017,38563.64865,9590.733333,134.396463,9540.554504,9640.912162,0.474696,0.006624,0.472223,0.477169,28,0,28,28,4130.833333,51.562719,4111.581659,4150.085007,458.981481,5.729191,456.842407,461.120556,0.178173,0.004878,0.176352,0.179994,0,0,0,0,0,0,0,0,0,0,0,0,1.013546,0.170725,0.949803,1.077288,0.415621,0.004284,0.414022,0.417221,0.356606,0.004887,0.354781,0.35843,0.227773,0.005048,0.225888,0.229658
P2_D45_D_B34,P2,45,dispersed,,,34,30,1505.7,41.635653,1490.154737,1521.245263,1364.533333,18.418007,1357.656709,1371.409958,0.906819,0.024364,0.897723,0.915915,141.166667,39.937955,126.255264,156.07807,318.491541,90.767917,284.602049,352.381032,841.55,225.968099,757.181599,925.918401,19053.466667,272.2843,18951.805454,19155.127879,38106.933333,544.568601,37903.610908,38310.255759,9526.733333,136.14215,9475.902727,9577.56394,0.472711,0.0067,0.47021,0.475213,33.6,0,33.6,33.6,4268.38,52.671751,4248.714253,4288.045747,474.264444,5.852417,472.079361,476.449527,0.276094,0.004651,0.274358,0.27783,0,0,0,0,0,0,0,0,0,0,0,0,1.150045,0.178729,1.083314,1.216776,0.452683,0.005977,0.450452,0.454915,0.421998,0.005487,0.419949,0.424047,0.125318,0.005029,0.123441,0.127196
