setting,policy,target,delay,damping,initial_budget,seed,requests,dispatched,completion_rate,final_queue,blocked_dispatch_attempts,head_of_line_blocked_attempts,head_of_line_share,warm_budget_mean,warm_budget_sd,warm_dispatch_mean,warm_dispatch_sd,budget_direction_changes,periods_within_point_one,final_central_budget,final_central_use
p3u_t10_d0,P3-U,10,0,1,20,502,2595,586,0.22581888246628132,2009,1282,0,0,10.111999302268806,0.14853245574691556,18.875,9.590794197215022,0,10,10.002765557725882,10.00001647151889
p3u_t10_d0,P3-U,10,0,1,20,503,2680,586,0.21865671641791046,2094,1299,0,0,10.112026419476399,0.14852916911603586,18.875,9.590794197215022,0,10,10.00279745983398,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,504,2672,586,0.21931137724550898,2086,1303,0,0,10.111818305203853,0.14811409891717126,18.8125,9.509425149117408,0,10,10.002751480064491,10.00000705922238
p3u_t10_d0,P3-U,10,0,1,20,505,2723,586,0.21520381931692986,2137,1362,0,0,10.111865252964368,0.14809613562532517,18.8125,9.509425149117408,0,10,10.002825675646406,10.000002353074127
p3u_t10_d0,P3-U,10,0,1,20,506,2721,586,0.21536199926497612,2135,1354,0,0,10.111865783399676,0.14809799186596592,18.8125,9.509425149117408,0,10,10.00282221288044,10.000011765370637
p3u_t10_d0,P3-U,10,0,1,20,507,2762,586,0.21216509775524983,2176,1371,0,0,10.11177907409791,0.14810025663533888,18.8125,9.509425149117408,0,10,10.00273260052797,10.000016471518887
p3u_t10_d0,P3-U,10,0,1,20,508,2805,586,0.2089126559714795,2219,1324,0,0,10.111809015993929,0.1481119989606352,18.8125,9.509425149117408,0,10,10.002753236091785,10.00001411844476
p3u_t10_d0,P3-U,10,0,1,20,509,2656,586,0.22063253012048192,2070,1319,0,0,10.111827460116617,0.1481098144365309,18.8125,9.509425149117408,0,10,10.002771097022524,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,510,2733,586,0.21441639224295647,2147,1333,0,0,10.111784878725203,0.14810373029930918,18.8125,9.509425149117408,0,10,10.002743109944468,10.000011765370633
p3u_t10_d0,P3-U,10,0,1,20,511,2668,586,0.21964017991004497,2082,1329,0,0,10.11180877376326,0.14811015798904026,18.8125,9.509425149117408,0,10,10.00275235094371,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,512,2595,586,0.22581888246628132,2009,1296,0,0,10.112017197747736,0.1485255501480085,18.875,9.590794197215022,0,10,10.002783002876566,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,513,2669,586,0.21955788684900712,2083,1340,0,0,10.111793315534577,0.14809827666523803,18.8125,9.509425149117408,0,10,10.002751665413165,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,514,2721,586,0.21536199926497612,2135,1346,0,0,10.111831468249825,0.14810020447914723,18.8125,9.509425149117408,0,10,10.002791486515267,10.000014118444762
p3u_t10_d0,P3-U,10,0,1,20,515,2654,586,0.22079879427279578,2068,1315,0,0,10.11180296915636,0.14810855314947005,18.8125,9.509425149117408,0,10,10.00274943458043,10.000011765370633
p3u_t10_d0,P3-U,10,0,1,20,516,2650,586,0.2211320754716981,2064,1321,0,0,10.112023495964475,0.14853462132343023,18.875,9.590794197215022,0,10,10.00278875006323,10.00000705922238
p3u_t10_d0,P3-U,10,0,1,20,517,2628,586,0.22298325722983256,2042,1277,0,0,10.111830047185727,0.1480985751742599,18.8125,9.509425149117408,0,10,10.00278586451381,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,518,2684,586,0.21833084947839046,2098,1310,0,0,10.111796933952208,0.14812450635672722,18.8125,9.509425149117408,0,10,10.00273199770224,10.000004706148253
p3u_t10_d0,P3-U,10,0,1,20,519,2586,586,0.2266047950502707,2000,1314,0,0,10.111860163294988,0.1480976828203061,18.8125,9.509425149117408,0,10,10.002819889373377,10.00000705922238
p3u_t10_d0,P3-U,10,0,1,20,520,2641,586,0.22188564937523667,2055,1328,0,0,10.111851645336031,0.14810108004634734,18.8125,9.509425149117408,0,10,10.002804913992069,10.000002353074127
p3u_t10_d0,P3-U,10,0,1,20,521,2703,586,0.21679615242323344,2117,1369,0,0,10.111831403927678,0.14809784787796992,18.8125,9.509425149117408,0,10,10.002790860010109,10.000011765370633
p3u_t10_d0,P3-U,10,0,1,20,522,2712,586,0.21607669616519173,2126,1346,0,0,10.111827829631888,0.14810203473396139,18.8125,9.509425149117408,0,10,10.002780091950692,10.00001411844476
p3u_t10_d0,P3-U,10,0,1,20,523,2661,586,0.22021796317173994,2075,1297,0,0,10.112013582528036,0.14853291531172,18.875,9.590794197215022,0,10,10.00278387805513,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,524,2669,586,0.21955788684900712,2083,1308,0,0,10.111857026710362,0.14810040581679818,18.8125,9.509425149117408,0,10,10.00281398335256,10.00000705922238
p3u_t10_d0,P3-U,10,0,1,20,525,2621,586,0.22357878672262496,2035,1260,0,0,10.111819575724521,0.1481145425419314,18.8125,9.509425149117408,0,10,10.002753636464913,10.000009412296507
p3u_t10_d0,P3-U,10,0,1,20,526,2671,586,0.21939348558592286,2085,1331,0,0,10.111829914528306,0.14810300277231211,18.8125,9.509425149117408,0,10,10.00277672615842,10.00000705922238
p3u_t10_d0,P3-U,10,0,1,20,527,2693,586,0.2176011882658745,2107,1308,0,0,10.112007364264182,0.14853397882561198,18.875,9.590794197215022,0,10,10.002768170689725,10.00000705922238
p3u_t10_d0,P3-U,10,0,1,20,528,2647,586,0.2213826973932754,2061,1287,0,0,10.111838789211467,0.14809713450306425,18.8125,9.509425149117408,0,10,10.002795939908237,10.00001411844476
p3u_t10_d0,P3-U,10,0,1,20,529,2705,586,0.2166358595194085,2119,1341,0,0,10.11178696394817,0.148114178580079,18.8125,9.509425149117408,0,10,10.002729050525101,10.000014118444762
p3u_t10_d0,P3-U,10,0,1,20,530,2691,586,0.21776291341508733,2105,1353,0,0,10.112008921917615,0.1485352135859772,18.875,9.590794197215022,0,10,10.00277023725089,10.00000705922238
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,501,2681,895,0.3338306602014174,1786,515,0,0,11.473900170734774,0.6773919082655926,35.0625,3.9407063664610518,0,0,10.866183923081396,10.105446179137894
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,502,2595,895,0.3448940269749518,1700,503,0,0,11.473986632599747,0.6775611602679,35.125,4.064070209367287,0,0,10.866176109391754,10.105436544411877
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,503,2680,895,0.333955223880597,1785,523,0,0,11.4732373387425,0.6771756300585278,35,4.033195589934446,0,0,10.866179667156283,10.105433104868403
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,504,2672,895,0.33495508982035926,1777,528,0,0,11.473191448737825,0.6770637122062659,34.9375,3.8896229465934957,0,0,10.866185351041574,10.105433425673564
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,505,2723,895,0.3286816011751744,1828,586,0,0,11.473808343070516,0.6771970946465375,35,3.8297084310253524,0,0,10.866188809363406,10.105453584843652
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,506,2721,895,0.3289231900036751,1826,510,0,0,11.473244229293849,0.6771755798403534,35,4.033195589934446,0,0,10.866190889913963,10.105448087352999
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,507,2762,895,0.32404055032585083,1867,538,0,0,11.474028095382682,0.67760015036523,35.125,4.031128874149275,0,0,10.8661721709952,10.105449520305719
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,508,2805,895,0.31907308377896615,1910,525,0,0,11.473845917183668,0.6773076373845899,35.0625,3.9743972289308642,0,0,10.866175291112265,10.105448977071047
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,509,2656,895,0.3369728915662651,1761,521,0,0,11.4736194304108,0.6769045546019854,34.9375,3.785388575386504,0,0,10.866192082963796,10.105418096705593
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,510,2733,895,0.327478960848884,1838,500,0,0,11.47361607038532,0.6769057816614692,34.9375,3.785388575386504,0,0,10.86618304399291,10.105454547259134
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,511,2668,895,0.33545727136431785,1773,495,0,0,11.473791642980185,0.6772030681030448,35,3.8297084310253524,0,0,10.866164702563212,10.105446080762247
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,512,2595,895,0.3448940269749518,1700,511,0,0,11.473616273258095,0.6769049372187289,34.9375,3.785388575386504,0,0,10.866184448133925,10.105436223606716
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,513,2669,895,0.33533158486324466,1774,546,0,0,11.473367069319188,0.6774290124461666,35.0625,4.122600312100766,0,0,10.866170388290298,10.105438576680841
