setting,policy,target,delay,damping,runs,periods,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,first24_completion_rate_mean,first24_completion_rate_ci_low,first24_completion_rate_ci_high,late24_service_ratio_mean,late24_service_ratio_ci_low,late24_service_ratio_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,final_queue_north_mean,final_queue_north_ci_low,final_queue_north_ci_high,final_queue_central_mean,final_queue_central_ci_low,final_queue_central_ci_high,final_queue_south_mean,final_queue_south_ci_low,final_queue_south_ci_high,late_trip_north_share_mean,late_trip_north_share_ci_low,late_trip_north_share_ci_high,late_trip_central_share_mean,late_trip_central_share_ci_low,late_trip_central_share_ci_high,late_trip_south_share_mean,late_trip_south_share_ci_low,late_trip_south_share_ci_high,late_budget_mean_mean,late_budget_mean_ci_low,late_budget_mean_ci_high,late_budget_sd_mean,late_budget_sd_ci_low,late_budget_sd_ci_high,late_dispatch_mean_mean,late_dispatch_mean_ci_low,late_dispatch_mean_ci_high,late_dispatch_sd_mean,late_dispatch_sd_ci_low,late_dispatch_sd_ci_high,late_use_mean_mean,late_use_mean_ci_low,late_use_mean_ci_high,late_use_sd_mean,late_use_sd_ci_low,late_use_sd_ci_high,late_direction_changes_mean,late_direction_changes_ci_low,late_direction_changes_ci_high,final_central_budget_mean,final_central_budget_ci_low,final_central_budget_ci_high,target_gap_mean,target_gap_ci_low,target_gap_ci_high,first_sustained_within_point_one_mean,first_sustained_within_point_one_ci_low,first_sustained_within_point_one_ci_high,first_sustained_dispatch_below_40_mean,first_sustained_dispatch_below_40_ci_low,first_sustained_dispatch_below_40_ci_high
p3d_075_t14,P3-D0.75,14,1,0.75,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5002.433333333333,5002.172846197581,5002.693820469086,0.33405155916700846,0.3331428231367457,0.3349602951972712,0.38338039833014687,0.3804428158138055,0.3863179808464882,0.3154869310891698,0.3129682469582928,0.31800561522004683,9973.433333333332,9932.83907915939,10014.027587507275,2000.5333333333333,1982.8618878829318,2018.2047787837348,5975.1,5949.09539468903,6001.10460531097,1997.8,1978.8463274149897,2016.7536725850102,0.3357269083476799,0.335442088060148,0.3360117286352117,0.3421157316812291,0.34196138066462106,0.34227008269783715,0.3221573599710911,0.32175811327911463,0.3225566066630675,14.25963981285177,14.259321639282772,14.259957986420767,0.22857564586545037,0.22837348838451418,0.22877780334638656,40.43472222222223,40.416489008431384,40.45295543601307,8.379044942580233,8.341523938232324,8.416565946928142,13.96690128846625,13.96680987951333,13.96699269741917,0.37014937333504233,0.37001199604681084,0.3702867506232738,2,2,2,13.978502894255914,13.978095623554337,13.978910164957492,0.2596398128517727,0.25932163928277474,0.2599579864207706,0,0,0,0,0,0
p2_b14.05,P2,14.05,0,0,30,120,14975.866666666667,14935.292753039002,15016.440580294331,2760,2760,2760,0.18430675008944888,0.18380617139262387,0.1848073287862739,0.20629893576615166,0.20497337156634754,0.20762449996595578,0.17945479728787334,0.1780221970795197,0.18088739749622698,12215.866666666667,12175.292753039002,12256.440580294331,2450,2429.8527569097423,2470.1472430902577,7322.233333333334,7294.617419434922,7349.849247231745,2443.633333333333,2424.5517069072357,2462.7149597594307,0.3143719806763285,0.3100124875659272,0.3187314737867298,0.6086956521739135,0.6086956521739134,0.6086956521739136,0.07693236714975844,0.07257287403935714,0.08129186026015975,14.05000000000001,14.050000000000008,14.050000000000011,5.443687297790757e-15,5.443687297790756e-15,5.4436872977907576e-15,23,23,23,0,0,0,14.045193769377791,14.045193376216295,14.045194162539287,0.000005877710214186582,0.000005541214560197786,0.0000062142058681753784,0,0,0,14.050000000000008,14.050000000000006,14.05000000000001,5.329070518200751e-15,5.329070518200751e-15,5.329070518200751e-15,1,1,1,1,1,1
p3u_t14.05,P3-U,14.05,1,1,30,120,14975.866666666667,14935.292753039002,15016.440580294331,3263,3263,3263,0.21789598751517095,0.2173041801645405,0.2184877948658014,0.35990194772247114,0.35758941452607373,0.36221448091886854,0.18660698123775232,0.18511728464428312,0.18809667783122153,11712.866666666667,11672.292753039002,11753.440580294331,2349.366666666667,2328.946980471563,2369.7863528617704,7019.7,6991.979160142759,7047.420839857241,2343.8,2325.254220033261,2362.3457799667394,0.3343786295005808,0.3303920311429068,0.3383652278582548,0.5853658536585368,0.5853658536585367,0.5853658536585369,0.08025551684088267,0.07626891848320867,0.08424211519855666,14.051489330663072,14.051474354983354,14.05150430634279,0.00159953497594371,0.0015990276540207315,0.0016000422978666887,23.916666666666664,23.916666666666664,23.916666666666664,0.5036101551853349,0.5036101551853349,0.5036101551853349,14.049795550273036,14.049795100548987,14.049795999997084,0.0025278716532838603,0.0025274540454187696,0.002528289261148951,2.7666666666666666,2.6127276331058447,2.9206057002274886,14.051470641328127,14.05101593364512,14.051925349011134,0.0014893306630715604,0.0014743549833536856,0.0015043063427894353,21,21,21,21,21,21
p3d_025_t14.05,P3-D0.25,14.05,1,0.25,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4034,4034,4034,0.2693816774858104,0.2686500345644364,0.27011332040718433,0.3959913217789818,0.3934445827259836,0.39853806083197996,0.1872571797786504,0.18576229260471613,0.18875206695258465,10941.866666666667,10901.292753039002,10982.440580294331,2197.3,2177.4597058651766,2217.1402941348238,6554.6,6527.757794386323,6581.442205613677,2189.9666666666667,2172.0698355355307,2207.8634977978027,0.33194444444444443,0.3283499414854911,0.33553894740339774,0.5833333333333335,0.5833333333333335,0.5833333333333335,0.08472222222222223,0.0811277192632689,0.08831672518117556,14.053083256484319,14.053077549104016,14.053088963864623,0.00022638118304703784,0.00022596048515823508,0.0002268018809358406,24,24,24,0,0,0,14.050213334742542,14.050212978456194,14.05021369102889,0.000005593613747236979,0.000005235551038226674,0.000005951676456247284,0,0,0,14.052715064307604,14.05270928610537,14.052720842509837,0.0030832564843173314,0.00307754910401388,0.0030889638646207826,54,54,54,55,55,55
p3d_05_t14.05,P3-D0.5,14.05,1,0.5,30,120,14975.866666666667,14935.292753039002,15016.440580294331,3257,3257,3257,0.21749532066715033,0.21690460153107818,0.21808603980322247,0.3576595679858825,0.3553614430960047,0.3599576928757603,0.18672573405097193,0.18524167447599482,0.18820979362594903,11718.866666666667,11678.292753039002,11759.440580294331,2350.5666666666666,2330.0595456442425,2371.0737876890908,7023.166666666667,6995.318063287115,7051.015270046219,2345.133333333333,2326.598429498444,2363.6682371682223,0.33178861788617897,0.3271353661298795,0.33644186964247846,0.5849925768822907,0.5848140233274427,0.5851711304371386,0.08321880523153057,0.07851442077869425,0.08792318968436688,14.052167173178377,14.052151074365565,14.05218327199119,0.0006918616150197067,0.0006708773573438091,0.0007128458726956043,23.931944444444447,23.92463645823691,23.939252430651983,0.25365442573324687,0.23993779642448473,0.267371055042009,14.049871627341881,14.04983505837538,14.049908196308381,0.00127341570685762,0.0012046083294476617,0.0013422230842675782,1.6333333333333333,1.45794166435247,1.8087250023141965,14.051699313979451,14.051691193971715,14.051707433987188,0.002167173178374545,0.0021510743655616398,0.00218327199118745,18,18,18,18.6,18.421695340150244,18.77830465984976
p3d_075_t14.05,P3-D0.75,14.05,1,0.75,30,120,14975.866666666667,14935.292753039002,15016.440580294331,3327.633333333333,3327.4579416643523,3327.808725002314,0.22221200203340458,0.2216111937305535,0.22281281033625566,0.38620079079377,0.3837037969479772,0.38869778463956284,0.18701878114800702,0.18552143480627561,0.18851612748973842,11648.233333333334,11607.70123716271,11688.765429503957,2336.3,2316.05455689473,2356.5454431052704,6979.733333333334,6952.183494929513,7007.283171737155,2332.2,2313.6147385151626,2350.785261484837,0.33277822138340435,0.32812344711381203,0.33743299565299667,0.584078590785908,0.583722103653833,0.5844350779179829,0.08314318783068785,0.07839232130505859,0.0878940543563171,14.052311867515789,14.0522539669388,14.052369768092777,0.0010437670726891205,0.0008686052369938455,0.0012189289083843955,23.96944444444444,23.95482847202937,23.984060416859514,0.10352094547176799,0.05400264165148528,0.1530392492920507,14.050059804043574,14.049986529541087,14.050133078546061,0.0005231732922356052,0.0002756689496614378,0.0007706776348097727,0.7333333333333333,0.38254999537160683,1.0841166712950598,14.052141119654838,14.051753202593991,14.052529036715685,0.0023118675157842122,0.002253966938794562,0.0023697680927738623,23,23,23,24,24,24
p2_b14.1,P2,14.1,0,0,30,120,14975.866666666667,14935.292753039002,15016.440580294331,3960,3960,3960,0.2644401196935571,0.263721898085069,0.26515834130204513,0.29599412522969576,0.29409222876910723,0.2978960216902843,0.2574786221956444,0.25542315233148477,0.259534092059804,11015.866666666667,10975.292753039002,11056.440580294331,2212.3,2192.148122038398,2232.4518779616023,6598.866666666667,6571.994023260838,6625.739310072496,2204.7,2186.855634145881,2222.5443658541185,0.4158670033670033,0.4139667310749967,0.41776727565900984,0.424242424242424,0.42424242424242387,0.4242424242424241,0.15989057239057242,0.15799030009856585,0.16179084468257898,14.100000000000005,14.100000000000003,14.100000000000007,1.814562432596919e-15,1.814562432596919e-15,1.814562432596919e-15,33,33,33,0,0,0,14.09539680913726,14.095396311802189,14.09539730647233,0.000008695855101713362,0.000008293763494480286,0.000009097946708946438,0,0,0,14.100000000000005,14.100000000000003,14.100000000000007,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1,1,1,1,1,1
p3u_t14.1,P3-U,14.1,1,1,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4244.666666666667,4244.49509292773,4244.838240405604,0.2834495221289561,0.2826802598872685,0.28421878437064363,0.3686718298634503,0.3663085898189127,0.37103506990798796,0.2646634217695801,0.26254874078566987,0.2667781027534903,10731.2,10690.63548306001,10771.764516939991,2154.3333333333335,2134.5768575590673,2174.0898091075996,6428.233333333334,6401.551655763966,6454.915010902701,2148.633333333333,2130.756992276118,2166.5096743905483,0.4137902654467071,0.4129708121647774,0.41460971872863683,0.41272576536380234,0.41267046403193675,0.41278106669566794,0.17348396918949066,0.17266359739778706,0.17430434098119427,14.101924622172488,14.101896492526402,14.101952751818574,0.0017505859659663235,0.0017170385104310502,0.0017841334215015967,33.92083333333332,33.91628379754798,33.92538286911866,0.49297881064786764,0.48150600273677063,0.5044516185589647,14.100020008585975,14.099997233179685,14.100042783992265,0.0024751316183632085,0.0024176983307652635,0.0025325649059611535,3.5,3.2746563288775508,3.7253436711224492,14.10045727783894,14.100428723776206,14.100485831901674,0.0019246221724891063,0.0018964925264033097,0.001952751818574903,17.166666666666668,17.031025716238894,17.302307617094442,19.433333333333334,19.252976768658087,19.61368989800858
p3d_025_t14.1,P3-D0.25,14.1,1,0.25,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5140,5140,5140,0.34323793313759676,0.3423056959993067,0.3441701702758868,0.4037394729564259,0.4011613706410458,0.40631757527180606,0.32574946898994406,0.32314898817695425,0.32834994980293386,9835.866666666667,9795.292753039002,9876.440580294331,1970.8,1953.3962818188545,1988.2037181811454,5895.5,5869.203714645443,5921.796285354557,1969.5666666666666,1950.491242970715,1988.6420903626183,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.32934131736526945,0.32934131736526945,0.32934131736526945,14.197374999311723,14.197368062061884,14.197381936561563,0.042999453514203916,0.04299833065057628,0.04300057637783155,41.75,41.75,41.75,0.7372097807744853,0.7372097807744852,0.7372097807744854,14.13933474808039,14.139333861581612,14.139335634579169,0.003702371408680712,0.003701518328193352,0.003703224489168072,0,0,0,14.128078112085483,14.128070492290732,14.128085731880233,0.09737499931171788,0.0973680620618782,0.09738193656155755,109,109,109,0,0,0
p3d_05_t14.1,P3-D0.5,14.1,1,0.5,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4419,4419,4419,0.29509113356712846,0.29428966354492925,0.2958926035893277,0.39697580280362244,0.39442750983738833,0.39952409576985654,0.26463080614552337,0.26251823989624823,0.2667433723947985,10556.866666666667,10516.292753039002,10597.440580294331,2119.866666666667,2100.2329626184915,2139.500370714842,6322.833333333333,6296.014417786445,6349.652248880221,2114.1666666666665,2096.2307473128913,2132.102586020442,0.4140458640458642,0.4131782087993286,0.4149135192923998,0.41277641277641297,0.4127764127764129,0.412776412776413,0.1731777231777232,0.17231006793118764,0.17404537842425877,14.101621953639777,14.101607076306395,14.101636830973158,0.0008336058727061174,0.0008326675579581931,0.0008345441874540417,33.91666666666665,33.91666666666664,33.91666666666666,0.28232985128664007,0.28232985128664007,0.28232985128664007,14.09999915475438,14.09999855822794,14.099999751280821,0.0014178937740775871,0.0014171963723458472,0.001418591175809327,2,2,2,14.101657339245474,14.101647583984152,14.101667094506796,0.001621953639777729,0.0016070763063973014,0.0016368309731581566,31,31,31,36.8,36.65441485486919,36.945585145130806
p3d_075_t14.1,P3-D0.75,14.1,1,0.75,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4302.733333333334,4302.572382899518,4302.894283767149,0.2873271045480672,0.2865464340925199,0.2881077750036145,0.39082205937447007,0.3883055469928997,0.3933385717560404,0.26463080614552337,0.26251823989624823,0.2667433723947985,10673.133333333333,10632.556263777587,10713.710402889079,2142.3,2122.5332867144048,2162.0667132855956,6394.433333333333,6368.277309333518,6420.589357333149,2136.4,2118.675195420561,2154.124804579439,0.41265356265356273,0.4121077723676709,0.4131993529394546,0.41277641277641297,0.4127764127764129,0.412776412776413,0.17457002457002455,0.1740242342841327,0.1751158148559164,14.10220557629302,14.10218721267367,14.10222393991237,0.0012485067757938286,0.0012474623158557645,0.0012495512357318928,33.91666666666665,33.91666666666664,33.91666666666666,0.28232985128664007,0.28232985128664007,0.28232985128664007,14.099998940829556,14.099998421745063,14.099999459914049,0.0014169240560875142,0.0014162343213909034,0.0014176137907841249,2,2,2,14.101639699351153,14.101281938797673,14.101997459904634,0.002205576293022323,0.0021872126736726142,0.0022239399123720315,22,22,22,25,25,25
p2_b14.15,P2,14.15,0,0,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5039.933333333333,5039.8026666666665,5040.064,0.33655567505943934,0.33564278059689817,0.3374685695219805,0.37669401590672064,0.37429140121621174,0.37909663059722953,0.3277000646126384,0.32508401205825344,0.33031611716702336,9935.933333333332,9895.377903137422,9976.488763529243,1992.5333333333333,1975.1049374539873,2009.9617292126793,5953.466666666666,5927.334448529541,5979.598884803791,1989.9333333333334,1970.7673255949348,2009.099341071732,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.149999999999995,14.149999999999993,14.149999999999997,1.814562432596919e-15,1.814562432596919e-15,1.814562432596919e-15,42,42,42,0,0,0,14.140590186099708,14.140589343671945,14.14059102852747,0.00001189176050607304,0.000011196931831202485,0.000012586589180943596,0,0,0,14.149999999999995,14.149999999999993,14.149999999999997,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,1,1,1,0,0,0
