budget,method,cases,requests_mean,requests_ci_low,requests_ci_high,planned_mean,planned_ci_low,planned_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completed_mean,completed_ci_low,completed_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,schedule_gap_mean,schedule_gap_ci_low,schedule_gap_ci_high,plan_execution_rate_mean,plan_execution_rate_ci_low,plan_execution_rate_ci_high,complete_plan_mean,complete_plan_ci_low,complete_plan_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14.1,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,33,33,33,33,33,33,94.39791666666666,93.40253102192736,95.39330231140596,102.23715729394902,101.11216545976036,103.36214912813769,0,0,0,0,0,0,0,0,0,0.41508838383838703,0.4129965512215055,0.41718021645526854,0.4242424242424278,0.4242424242424275,0.42424242424242814,0.1606691919191919,0.1585773593023104,0.1627610245360734,0.9996734928041794,0.9996734349393143,0.9996735506690445
14.1,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,41,41,41,40.983333333333334,40.971868623429245,40.994798043237424,40.983333333333334,40.971868623429245,40.994798043237424,86.41458333333334,85.42086508336531,87.40830158330137,96.26494149178953,94.38556568655473,98.14431729702433,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9995934959349595,0.9993138688641281,0.9998731230057909,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.34124110772357874,0.3410607684149702,0.3414214470321873,0.3172052845528437,0.31711440575482347,0.3172961633508639,0.3415536077235787,0.3414396487005291,0.34166756674662824,0.9982526122725062,0.9982520246192992,0.9982531999257132
14.15,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,42,42,42,42,42,42,85.39791666666666,84.40253102192736,86.39330231140596,132.59222736062765,131.30043270867182,133.88402201258347,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.9993349555403214,0.9993348767049428,0.9993350343756999
14.15,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.7510631984943,99.89971330944877,103.60241308753982,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9993239300416572,0.9993198667684728,0.9993279933148416
14.2,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,42,42,42,42,42,42,85.39791666666666,84.40253102192736,86.39330231140596,132.59222736062765,131.30043270867182,133.88402201258347,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.9958161704856016,0.9958160919278124,0.9958162490433907
14.2,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.7510631984943,99.89971330944877,103.60241308753982,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9958051838091265,0.9958011348432422,0.9958092327750109
14.25,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,42,42,42,42,42,42,85.39791666666666,84.40253102192736,86.39330231140596,132.59222736062765,131.30043270867182,133.88402201258347,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.9923220786593377,0.9923220003771899,0.9923221569414856
14.25,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.76053023359124,99.90827484252219,103.61278562466029,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9923111316622015,0.992307096889851,0.9923151664345521
14.5,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,42,42,42,42,42,42,85.39791666666666,84.40253102192736,86.39330231140596,132.59222736062765,131.30043270867182,133.88402201258347,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.97521307730314,0.9752130003706844,0.9752131542355956
14.5,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,42,42,42,41.983333333333334,41.971868623429245,41.994798043237424,41.983333333333334,41.971868623429245,41.994798043237424,85.41458333333334,84.42086508336531,86.40830158330137,101.76053023359124,99.90827484252219,103.61278562466029,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9996031746031747,0.999330205319744,0.9998761438866054,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.3331131436314366,0.33293527100948883,0.3332910162533844,0.3334688346883473,0.33337562566473683,0.3335620437119578,0.3334180216802172,0.33330806330194096,0.3335279800584935,0.9752023190473493,0.9751983538400393,0.9752062842546594
15,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,41.94375,41.8335,42.054,41.94375,41.8335,42.054,85.45416666666667,84.45152246947441,86.45681086385892,132.38869383462202,131.05950604255284,133.7178816266912,0,0,0,0,0,0,0,0,0,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.33472222222222264,0.3320000000000004,0.3374444444444449,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.9428253369307227,0.9425913863142777,0.9430592875471676
