budget,method,method_id,cases,periods,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,first24_completion_rate_mean,first24_completion_rate_ci_low,first24_completion_rate_ci_high,late24_service_ratio_mean,late24_service_ratio_ci_low,late24_service_ratio_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,late_mean_wait_minutes_mean,late_mean_wait_minutes_ci_low,late_mean_wait_minutes_ci_high,late_p95_wait_mean_mean,late_p95_wait_mean_ci_low,late_p95_wait_mean_ci_high,final_oldest_queue_age_mean,final_oldest_queue_age_ci_low,final_oldest_queue_age_ci_high,north_completion_rate_mean,north_completion_rate_ci_low,north_completion_rate_ci_high,central_completion_rate_mean,central_completion_rate_ci_low,central_completion_rate_ci_high,south_completion_rate_mean,south_completion_rate_ci_low,south_completion_rate_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,runtime_ms_mean,runtime_ms_ci_low,runtime_ms_ci_high
14.1,Rolling 3 fair,rolling3_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4919.966666666666,4919.901333333333,4920.031999999999,0.32854457673793613,0.3276528537700827,0.3294362997057896,0.3677373868804487,0.3653835277851336,0.3700912459757638,0.31989768212186115,0.3173439165330568,0.3224514477106655,10055.9,10015.33537964832,10096.464620351679,18154.943177394445,18104.49875373293,18205.38760105596,33696.85687223545,33623.18661593412,33770.52712853677,33819.12804645636,33745.311312182595,33892.944780730126,37644.333333333336,37565.05766915522,37723.60899751145,0.3275935529952457,0.32473720924751126,0.3304498967429801,0.3289945849026469,0.3278369924664727,0.3301521773388211,0.3281777978934404,0.3249047416143854,0.3314508541724955,0.3414657285422215,0.34146119328239444,0.3414702638020486,0.3170753193606341,0.31707110804793753,0.31707953067333067,0.3414589520971446,0.34145020552462096,0.34146769866966825,134.82914440000215,128.74544198606617,140.91284681393813
14.1,Rolling 30 throughput,rolling30_throughput,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4919.966666666666,4919.901333333333,4920.031999999999,0.32854457673793613,0.3276528537700827,0.3294362997057896,0.3677373868804487,0.3653835277851336,0.3700912459757638,0.31989768212186115,0.3173439165330568,0.3224514477106655,10055.9,10015.33537964832,10096.464620351679,18153.60981362139,18103.169051241406,18204.050576001377,33695.68252521245,33622.05244769015,33769.312602734746,33867.16373327692,33793.52778149259,33940.79968506125,37712.566666666666,37631.09740918731,37794.035924146025,0.3293286138067538,0.32647618102591336,0.3321810465875943,0.327788002264395,0.3266254432107552,0.32895056131803474,0.3300562535102806,0.3267941648209884,0.33331834219957285,0.3414589520971446,0.34145020552462096,0.34146769866966825,0.3170753193606341,0.31707110804793753,0.31707953067333067,0.3414657285422215,0.34146119328239444,0.3414702638020486,399.5893624666661,394.70514492637466,404.47358000695755
14.15,Greedy FIFO,greedy,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5039.933333333333,5039.8026666666665,5040.064,0.33655567505943934,0.33564278059689817,0.3374685695219805,0.37669401590672064,0.37429140121621174,0.37909663059722953,0.3277000646126384,0.32508401205825344,0.33031611716702336,9935.933333333332,9895.377903137422,9976.488763529243,17931.367555235625,17880.79520466023,17981.93990581102,33295.30629649598,33220.4695076614,33370.143085330565,33418.969109762904,33343.98727119661,33493.9509483292,37190.76666666667,37108.235185187434,37273.29814814591,0.3357172169665878,0.33296438591495015,0.33847004801822544,0.3368809940935768,0.3356580071578206,0.338103981029333,0.33644300340052863,0.33311664769607174,0.3397693591049855,0.3333377442547748,0.3333290988487495,0.3333463896608001,0.3333377442547748,0.3333290988487495,0.3333463896608001,0.33332451149045034,0.3333072206783997,0.333341802302501,90.56843750000068,84.93805073184487,96.1988242681565
14.15,Rolling 10 fair,rolling10_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5039.933333333333,5039.8026666666665,5040.064,0.33655567505943934,0.33564278059689817,0.3374685695219805,0.37669401590672064,0.37429140121621174,0.37909663059722953,0.3277000646126384,0.32508401205825344,0.33031611716702336,9935.933333333332,9895.377903137422,9976.488763529243,17932.352546806876,17881.783712379405,17982.921381234348,33296.30662725184,33221.4723047001,33371.14094980358,33418.13502467525,33343.145556914635,33493.12449243586,37190.76666666667,37108.235185187434,37273.29814814591,0.3357172169665878,0.33296438591495015,0.33847004801822544,0.3368809940935768,0.3356580071578206,0.338103981029333,0.33644300340052863,0.33311664769607174,0.3397693591049855,0.3333377442547748,0.3333290988487495,0.3333463896608001,0.33333112787261254,0.3333268051695999,0.3333354505756252,0.33333112787261254,0.3333268051695999,0.3333354505756252,212.1050932000008,209.4163899887124,214.79379641128918
14.15,Rolling 3 fair,rolling3_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5039.933333333333,5039.8026666666665,5040.064,0.33655567505943934,0.33564278059689817,0.3374685695219805,0.37669401590672064,0.37429140121621174,0.37909663059722953,0.3277000646126384,0.32508401205825344,0.33031611716702336,9935.933333333332,9895.377903137422,9976.488763529243,17932.352546806876,17881.783712379405,17982.921381234348,33296.30662725184,33221.4723047001,33371.14094980358,33418.13502467525,33343.145556914635,33493.12449243586,37190.76666666667,37108.235185187434,37273.29814814591,0.3357172169665878,0.33296438591495015,0.33847004801822544,0.3368809940935768,0.3356580071578206,0.338103981029333,0.33644300340052863,0.33311664769607174,0.3397693591049855,0.3333377442547748,0.3333290988487495,0.3333463896608001,0.33333112787261254,0.3333268051695999,0.3333354505756252,0.33333112787261254,0.3333268051695999,0.3333354505756252,139.21444293333383,132.3686590949829,146.06022677168477
14.15,Rolling 30 throughput,rolling30_throughput,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5039.933333333333,5039.8026666666665,5040.064,0.33655567505943934,0.33564278059689817,0.3374685695219805,0.37669401590672064,0.37429140121621174,0.37909663059722953,0.3277000646126384,0.32508401205825344,0.33031611716702336,9935.933333333332,9895.377903137422,9976.488763529243,17930.925286428137,17880.35339878871,17981.497174067565,33295.02824527698,33220.174883069136,33369.88160748483,33472.10223974285,33396.84746202133,33547.357017464376,37265.26666666667,37184.046663243396,37346.486670089944,0.3376508687665167,0.33486661030679277,0.3404351272262406,0.33561468639670267,0.33437479887744315,0.3368545739159622,0.3382990834252874,0.33490793386911943,0.3416902329814554,0.33333112787261254,0.3333268051695999,0.3333354505756252,0.3333377442547748,0.3333290988487495,0.3333463896608001,0.33333112787261254,0.3333268051695999,0.3333354505756252,397.71918743333276,395.34309045573445,400.0952844109311
18,Greedy FIFO,greedy,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5476.9,5475.520937716558,5478.279062283441,0.3657353493467695,0.3647391122417776,0.3667315864517614,0.40917216437405385,0.4065350576872067,0.411809271060901,0.3560727987423535,0.35318169233955204,0.3589639051451549,9498.966666666667,9458.388318485795,9539.54501484754,17124.31736558573,17072.704428545167,17175.930302626297,31834.2477006434,31753.952472046065,31914.54292924073,31970.212513273793,31889.96853591521,32050.456490632376,35538.46666666667,35447.465870555796,35629.46746277754,0.365797451453385,0.3631067375978261,0.3684881653089439,0.36585896630347925,0.3645294146704321,0.3671885179365264,0.3653291218225492,0.3619388678556348,0.36871937578946357,0.3723945421321059,0.3722886585514963,0.37250042571271547,0.37247365755349654,0.3723799963596303,0.37256731874736276,0.25513180031439764,0.2549368627156384,0.25532673791315685,86.59994723333512,81.12386080667832,92.07603365999191
18,Rolling 10 fair,rolling10_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5498.866666666667,5497.515475814009,5500.217857519325,0.3672019014908124,0.36621822524624775,0.368185577735377,0.41056608136898487,0.40794479169626685,0.4131873710417029,0.3576132054068562,0.35468581868977184,0.3605405921239406,9477,9436.667944011868,9517.332055988132,17090.77381047139,17038.81627590438,17142.7313450384,31761.980414759808,31682.616588800956,31841.34424071866,31897.39799379293,31817.797455319553,31976.998532266305,35459.13333333333,35368.12540462009,35550.14126204657,0.3673422819732908,0.3645866586811054,0.37009790526547615,0.36730242450594314,0.36597086501661785,0.3686339839952684,0.3667861962950487,0.3634233597381878,0.37014903285190964,0.33109868949788096,0.33079882306850816,0.33139855592725376,0.33795423544213926,0.33758586519989914,0.3383226056843794,0.33094707505997983,0.3306461568155589,0.33124799330440075,221.358119466668,216.26924780217306,226.44699113116295
18,Rolling 3 fair,rolling3_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5498.866666666667,5497.515475814009,5500.217857519325,0.3672019014908124,0.36621822524624775,0.368185577735377,0.41056608136898487,0.40794479169626685,0.4131873710417029,0.3576132054068562,0.35468581868977184,0.3605405921239406,9477,9436.667944011868,9517.332055988132,17090.77381047139,17038.81627590438,17142.7313450384,31761.980414759808,31682.616588800956,31841.34424071866,31897.39799379293,31817.797455319553,31976.998532266305,35459.13333333333,35368.12540462009,35550.14126204657,0.3673422819732908,0.3645866586811054,0.37009790526547615,0.36730242450594314,0.36597086501661785,0.3686339839952684,0.3667861962950487,0.3634233597381878,0.37014903285190964,0.33109868949788096,0.33079882306850816,0.33139855592725376,0.33795423544213926,0.33758586519989914,0.3383226056843794,0.33094707505997983,0.3306461568155589,0.33124799330440075,135.6718834000004,127.77275926612577,143.57100753387505
18,Rolling 30 throughput,rolling30_throughput,30,120,14975.866666666667,14935.292753039002,15016.440580294331,5518.8,5518.355230034918,5519.244769965082,0.36853320572193043,0.3675397848350241,0.3695266266088368,0.41214936898818805,0.4094972717915102,0.4148014661848659,0.35890959457574667,0.3560443941590394,0.36177479499245396,9457.066666666668,9416.607272523064,9497.52606081027,17048.51402045689,16996.233781639854,17100.794259273924,31693.623173668737,31613.505897083884,31773.74045025359,31889.627881653476,31808.985332277294,31970.270431029658,35451.333333333336,35360.31280990645,35542.35385676022,0.3701706016386794,0.36738509599157354,0.3729561072857852,0.36746960455749544,0.366185920836181,0.3687532882788099,0.3701165492228477,0.3667140808045591,0.3735190176411363,0.32610953985522606,0.32609017193302015,0.326128907777432,0.34776883861744456,0.34775005196357867,0.34778762527131046,0.32612162152732954,0.3261023402704015,0.32614090278425756,419.2982375000002,417.07410107868367,421.5223739213167
