demand,target,policy,policy_id,comparison,fixed_budget,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_late24_service_ratio_mean,delta_late24_service_ratio_ci_low,delta_late24_service_ratio_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_population_weighted_exposure_mean_mean,delta_population_weighted_exposure_mean_ci_low,delta_population_weighted_exposure_mean_ci_high,delta_late_mean_wait_minutes_mean,delta_late_mean_wait_minutes_ci_low,delta_late_mean_wait_minutes_ci_high
80,14,P3-D0.50,p3d_05,same_target,14,30,0.02539112652092076,0.025322151502655408,0.025460101539186115,0.02080635330873894,0.020640254733857357,0.020972451883620524,-380.23333333333335,-380.4136898980086,-380.0529767686581,1.0418104500943568,1.0413519461379992,1.0422689540507144,-1290.727721171675,-1305.5096847514465,-1275.9457575919037
80,14,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.0013555929175033917,0.0013408172763626576,0.0013703685586441258,-0.002600794163592372,-0.00262155648545257,-0.0025800318417321735,-20.3,-20.51326277568824,-20.08673722431176,0.03319032755230366,0.032535570124992357,0.03384508497961496,-89.59795972467097,-91.4476632256529,-87.74825622368904
80,14,P3-U,p3u,same_target,14,30,0.023563652108359378,0.023499667042531022,0.023627637174187734,0.02137045992198216,0.021172894288831092,0.021568025555133225,-352.8666666666667,-352.9903902493185,-352.7429430840148,0.9652363477275858,0.964480954617069,0.9659917408381027,-1179.3271282193882,-1193.0795503240136,-1165.5747061147629
80,14,P3-U,p3u,nearest_exposure,14.15,30,-0.0004718814950579964,-0.0004806135964969654,-0.0004631493936190274,-0.002036687550349153,-0.0021162166972685174,-0.0019571584034297888,7.066666666666666,6.936,7.197333333333333,-0.043383774814467736,-0.04405910898816469,-0.042708440640770784,21.802633227616024,21.24529224762072,22.359974207611327
80,14.05,P3-D0.50,p3d_05,same_target,14.05,30,0.02657529006039112,0.026505250036831733,0.026645330083950508,0.022756948931433214,0.022575278615156482,0.022938619247709947,-397.96666666666664,-398.0811206260226,-397.8522127073107,1.0917772597873747,1.0912134077064728,1.0923411118682766,-1346.6147484216099,-1362.0595353797146,-1331.1699614635052
80,14.05,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.00253975645697375,0.0025267906998253445,0.0025527222141221552,-0.0006501985408980948,-0.000655389121363144,-0.0006450079604330457,-38.03333333333333,-38.208725002314196,-37.85794166435247,0.08315713724532128,0.08240439404920273,0.08390988044143984,-145.48498697460576,-147.27261766212874,-143.69735628708278
80,14.05,P3-U,p3u,same_target,14.05,30,0.024674395288185276,0.024606494579506352,0.0247422959968642,0.02232364866634272,0.022127405540475466,0.02251989179220997,-369.5,-369.68198143141353,-369.31801856858647,1.0139677567108476,1.0132776041364762,1.014657909285219,-1236.6359180627453,-1251.2562345534266,-1222.015601572064
80,14.05,P3-U,p3u,nearest_exposure,14.15,30,0.0006388616847678978,0.0006250266621121565,0.000652696707423639,-0.0010834988059885955,-0.0011610269102683625,-0.0010059707017088285,-9.566666666666666,-9.770037644904152,-9.363295688429181,0.005347634168794062,0.004500819860560518,0.006194448477027605,-35.506156615741205,-36.90350606144271,-34.1088071700397
80,14.1,P3-D0.50,p3d_05,same_target,14.1,30,0.011554754649881581,0.01152336778790224,0.011586141511860923,0.007195208756087009,0.007116832903241495,0.007273584608932523,-173.03333333333333,-173.1814244309053,-172.88524223576135,0.8603536077993745,0.859778984267777,0.8609282313309721,-604.3998727127957,-611.4545102444732,-597.3452351811183
80,14.1,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.003543656328378299,0.0035284956399561033,0.0035588170168004947,-0.0006071737346900919,-0.0006664410975329275,-0.0005479063718472562,-53.06666666666667,-53.25304345307906,-52.88028988025428,0.12589632710243706,0.12516741188172908,0.12662524232314504,-203.84962772919764,-206.46521712302297,-201.2340383353723
