setting,policy,target,delay,damping,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,final_queue_north,final_queue_central,final_queue_south,late_trip_north_share,late_trip_central_share,late_trip_south_share,late_budget_mean,late_budget_sd,late_dispatch_mean,late_dispatch_sd,late_use_mean,late_use_sd,late_direction_changes,final_central_budget,target_gap,first_sustained_within_point_one,first_sustained_dispatch_below_40
p3d_075_t16,P3-D0.75,16,1,0.75,515,120,14802,5086,0.343602215916768,0.3816880180859081,0.3440643863179074,9716,1928,5857,1931,0.3635477582846004,0.3723196881091618,0.26413255360623783,16.32330158082697,0.22493268480036974,42.75,7.121614374869495,16.05139918930793,0.2789283809343476,2,16.068917645387092,0.32330158082697125,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,516,120,14879,5087,0.34189125613280463,0.38264150943396225,0.33693870862012454,9792,1941,5871,1980,0.36089494163424124,0.3715953307392996,0.26750972762645914,16.322802105558644,0.2246680208735748,42.833333333333336,7.087445524162496,16.051814073750872,0.2782588187079838,2,16.064397100827026,0.32280210555864386,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,517,120,14968,5086,0.33979155531801175,0.3850837138508371,0.3343098958333333,9882,2004,5898,1980,0.3631937682570594,0.37195715676728336,0.26484907497565724,16.325177454230374,0.22516038603743627,42.791666666666664,7.1382568001527895,16.051605964098066,0.278228372481865,2,16.073442195474872,0.32517745423037425,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,518,120,15023,5086,0.3385475604073754,0.37816691505216093,0.33204009052699646,9937,2023,5900,2014,0.3641674780915287,0.37195715676728336,0.2638753651411879,16.326523154357485,0.22449122670096053,42.791666666666664,6.750067095748119,16.051609510600642,0.27876074772708365,2,16.07561831802132,0.3265231543574849,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,519,120,14890,5087,0.34163868368032235,0.3928847641144625,0.33011893281902926,9803,1969,5857,1977,0.3612463485881207,0.37195715676728336,0.2667964946445959,16.325137469877188,0.22504793121379638,42.791666666666664,6.946873971148066,16.05161013380091,0.27888240782253176,2,16.068877169568314,0.3251374698771876,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,520,120,15146,5087,0.33586425458867025,0.38394547519878836,0.3306555269922879,10059,2044,6020,1995,0.36151603498542273,0.37123420796890183,0.26724975704567544,16.325363299882124,0.22428378311247066,42.875,6.88610762774367,16.05202692383015,0.2782003079657516,2,16.071162147050785,0.32536329988212387,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,521,120,15092,5086,0.3369997349589186,0.3755086940436552,0.34017207147584383,10006,1959,6017,2030,0.36089494163424124,0.3715953307392996,0.26750972762645914,16.32511155760665,0.2245922906851752,42.833333333333336,6.988603559377576,16.05181679717942,0.27819846662052644,2,16.068852902690942,0.32511155760665034,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,522,120,14972,5086,0.33970077477958854,0.37389380530973454,0.3351863963374755,9886,2060,5989,1837,0.3668292682926829,0.3726829268292683,0.2604878048780488,16.326281042389166,0.22403743213908758,42.708333333333336,6.7339449428068265,16.051193481405463,0.278621263167044,2,16.075747552928206,0.3262810423891658,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,523,120,15011,5087,0.3388848178002798,0.38030815482901165,0.3377221856484529,9924,2019,5973,1932,0.3635477582846004,0.3723196881091618,0.26413255360623783,16.321758128864577,0.2252783125313896,42.75,7.349948239983379,16.051390377554252,0.2783057909381567,2,16.062162398631283,0.3217581288645768,0,0
p3d_075_t16,P3-D0.75,16,1,0.75,524,120,14954,5087,0.34017654139360703,0.3802922442862495,0.341991341991342,9867,1951,6012,1904,0.3631937682570594,0.37195715676728336,0.26484907497565724,16.32416494704781,0.22530585069954706,42.791666666666664,7.1382568001527895,16.051603859590085,0.2782269773185162,2,16.071211037084083,0.32416494704780874,0,0
