seed,source_period,budget,method,requests,planned,dispatched,completed,final_queue,mean_wait_minutes,schedule_gap,plan_execution_rate,complete_plan,north_route_share,central_route_share,south_route_share,peak_budget_use
501,9,14.5,Planned event,125,42,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9752080788919962
501,9,15,Greedy event,125,0,42,42,83,106.61251359611012,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.942705232365603
501,9,15,Planned event,125,42,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9427011429289297
501,9,16,Greedy event,125,0,44,44,81,111.77286902514567,0,0,0,0.3409090909090909,0.3409090909090909,0.3181818181818182,0.9465994815954583
501,9,16,Planned event,125,45,42,42,83,35.2867690912357,3,0.9333333333333333,0,0.30952380952380953,0.3333333333333333,0.35714285714285715,0.9424999709384119
501,9,17,Greedy event,125,0,44,44,81,111.38774446977085,0,0,0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.9494448726888773
501,9,17,Planned event,125,46,43,43,82,36.865507995297996,3,0.9347826086956522,0,0.32558139534883723,0.37209302325581395,0.3023255813953488,0.9491531160903955
501,9,18,Greedy event,125,0,44,44,81,111.38774446977085,0,0,0,0.38636363636363635,0.38636363636363635,0.22727272727272727,0.9519748177421571
501,9,18,Planned event,125,46,43,43,82,40.046125641417866,3,0.9347826086956522,0,0.32558139534883723,0.27906976744186046,0.3953488372093023,0.9483787568346285
501,10,13,Greedy event,133,0,36,36,97,110.42722971094024,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323466721864468
501,10,13,Planned event,133,36,36,36,97,90.039108607302,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323417897099305
501,10,13.5,Greedy event,133,0,39,39,94,121.53252045367705,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9726334208413066
501,10,13.5,Planned event,133,39,39,39,94,98.89611343748386,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.972628163339372
501,10,13.75,Greedy event,133,0,39,39,94,121.53252045367705,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549491768260101
501,10,13.75,Planned event,133,39,39,39,94,95.24526580873298,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549441860476835
501,10,14,Greedy event,133,0,39,39,94,121.53252045367705,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.937896512954117
501,10,14,Planned event,133,39,39,39,94,98.89611343748386,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
501,10,14.05,Greedy event,133,0,23,23,110,64.63471836960053,0,0,0,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.9996582312723581
501,10,14.05,Planned event,133,39,39,39,94,98.89611343748386,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
501,10,14.1,Greedy event,133,0,33,33,100,99.31574265188854,0,0,0,0.42424242424242425,0.42424242424242425,0.15151515151515152,0.9996741930175288
501,10,14.1,Planned event,133,41,41,41,92,102.62691431994382,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896128
501,10,14.15,Greedy event,133,0,42,42,91,132.11079458131422,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993357507897099
501,10,14.15,Planned event,133,42,42,42,91,107.67940424888664,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
