seed,source_period,budget,method,workload_cap,requests,planned,planned_workload,dispatched,completed,final_queue,mean_wait_minutes,schedule_gap,plan_execution_rate,complete_plan,north_route_share,central_route_share,south_route_share,peak_budget_use
526,17,17,Greedy event,0,124,0,0,45,45,79,131.25219101052423,0,0,0,0.35555555555555557,0.35555555555555557,0.28888888888888886,0.9497411168928955
526,17,17,Time plan 900,900,124,43,886.5405141989991,43,43,81,97.45171074343942,0,1,1,0.37209302325581395,0.37209302325581395,0.2558139534883721,0.9491469808533962
526,17,17,Time plan 930,930,124,45,928.1114164853448,45,45,79,99.64364613704207,0,1,1,0.28888888888888886,0.35555555555555557,0.35555555555555557,0.9497373890211859
526,17,17,Time plan 960,960,124,46,948.8968676285175,46,46,78,102.47015345299955,0,1,1,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.9500325931050807
526,17,18,Greedy event,0,124,0,0,45,45,79,130.9708732621797,0,0,0,0.37777777777777777,0.37777777777777777,0.24444444444444444,0.9522543301249651
526,17,18,Time plan 900,900,124,43,886.0883963891596,43,43,81,97.05252877439578,0,1,1,0.3953488372093023,0.3953488372093023,0.20930232558139536,0.9516933447267513
526,17,18,Time plan 930,930,124,45,927.6592986755053,45,45,79,99.91882519307062,0,1,1,0.24444444444444444,0.37777777777777777,0.37777777777777777,0.9522509524407748
526,17,18,Time plan 960,960,124,46,948.444749818678,46,46,78,105.10891557302747,0,1,1,0.3695652173913043,0.3695652173913043,0.2608695652173913,0.9525297562977867
526,18,14,Greedy event,0,121,0,0,39,39,82,127.38578088257817,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378967745236161
526,18,14,Time plan 900,900,121,39,804.7550630558263,39,39,82,67.96104241402584,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,18,14,Time plan 930,930,121,39,804.7550630558263,39,39,82,67.96104241402584,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,18,14,Time plan 960,960,121,39,804.7550630558263,39,39,82,67.96104241402584,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
526,18,14.05,Greedy event,0,121,0,0,23,23,98,74.55957232768486,0,0,0,0.34782608695652173,0.6086956521739131,0.043478260869565216,0.999657210569563
526,18,14.05,Time plan 900,900,121,39,804.7550630558263,39,39,82,67.96104241402584,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,18,14.05,Time plan 930,930,121,39,804.7550630558263,39,39,82,67.96104241402584,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,18,14.05,Time plan 960,960,121,39,804.7550630558263,39,39,82,67.96104241402584,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
526,18,14.1,Greedy event,0,121,0,0,33,33,88,107.22459375328643,0,0,0,0.42424242424242425,0.42424242424242425,0.15151515151515152,0.9996731759342472
526,18,14.1,Time plan 900,900,121,41,846.325965342172,41,41,80,68.56672480982522,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
526,18,14.1,Time plan 930,930,121,41,846.325965342172,41,41,80,68.56672480982522,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
526,18,14.1,Time plan 960,960,121,41,846.325965342172,41,41,80,68.56672480982522,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
526,18,14.15,Greedy event,0,121,0,0,42,42,79,135.94810057230885,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993349193147536
526,18,14.15,Time plan 900,900,121,42,866.6592986755053,42,42,79,75.46082146855572,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
